id,label,left_title,left_authors,left_venue,left_year,left_vldb,right_title,right_authors,right_venue,right_year,right_vldb
1941,0,spatial data management for computer aided design sigmod conference 2001,"andreas müller, marco pötke, thomas seidl, hans-peter kriegel",SIGMOD Conference,2001,,networked data management design points 1999,james r. hamilton,VLDB,1999,
1942,0,document management as a database problem,VAL -,VLDB,VAL -,,the mariposa distributed database management system,jeff sidell,ACM SIGMOD Record,1996,
1943,0,join index hierarchies for supporting efficient navigations in object-oriented databases,VAL -,VLDB,VAL -,,efficient index structures for string databases,VAL -,VLDB,VAL -,
1944,1,an approximate search engine for structural databases,"kaizhong zhang, qicheng ma, jason tsong-li wang, xinhuan zheng, xiong wang, dennis shasha, zasha weinberg, bruce a. shapiro",sigmod conference,2000,VAL -,an approximate search engine for structural databases,VAL -,sigmod conference,2000,VAL -
1945,0,supporting top-k join queries in relational databases,VAL -,VAL -,VAL -,,efficiently instantiating view-objects from remote relational databases,VAL -,VLDB Journal,1994,
1946,0,sideway value algebra for object-relational databases 2002,"z. meral özsoyoglu, gultekin özsoyoglu, abdullah al-hamdani, özgür ulusoy, selma ayse özel, ismail sengör altingövde",VLDB,VAL -,,formal query languages for secure relational databases 1994,"marianne winslett, kenneth smith, xiaolei qian",ACM Transactions on Database Systems (TODS),VAL -,
1947,1,materialized view and index selection tool for microsoft sql server 2000,VAL -,SIGMOD Conference,2001,VAL -,materialized view and index selection tool for microsoft sql server 2000,VAL -,SIGMOD Conference,2001,VAL -
1948,0,secure buffering in firm real-time database systems,"jayant r. haritsa, binto george",VAL -,2000,VLDB Journal,report on first international workshop on real-time database systems,VAL -,ACM SIGMOD Record,1996,VAL -
1949,0,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"michael stonebraker, nicholas j. belkin, gio wiederhold, erich j. neuhold, leonard j. seligman",VLDB,VAL -,,sql open heterogeneous data access,"berthold reinwald, hamid pirahesh",SIGMOD Conference,1998,
1950,0,guest editorial malcolm p. atkinson vldb j.,VAL -,VLDB Journal,VAL -,,"guest editorial paolo atzeni , alberto o. mendelzon the vldb journal -- the international journal on very large data bases",VAL -,VLDB Journal,2000,
1951,0,building knowledge base management systems,VAL -,VAL -,1996,VAL -,amalgamating knowledge bases,VAL -,TODS,1994,VAL -
1952,1,"main-memory index structures with fixed-size partial keys philip bohannon , rajeev rastogi , peter mcilroy","philip bohannon, rajeev rastogi, peter mcilroy",SIGMOD Conference,2001,VAL -,"main-memory index structures with fixed-size partial keys philip bohannon , peter mcllroy , rajeev rastogi","philip bohannon, peter mcllroy, rajeev rastogi",SIGMOD Conference,2001,VAL -
1953,0,tutorial : application servers and associated technologies c. mohan 2002,VAL -,SIGMOD Conference,VAL -,,"workflow automation : applications , technology and research amit sheth",VAL -,SIGMOD Conference,1995,
1954,0,parametric query optimization vldb j.,"raymond t. ng, timos k. sellis, yannis e. ioannidis, kyuseok shim",VLDB Journal,VAL -,,design and analysis of parametric query optimization algorithms very large data bases,sumit ganguly,VLDB,1998,
1955,1,schemasql - a language for interoperability in relational multi-database systems,"fereidoon sadri, laks v. s. lakshmanan, iyer n. subramanian",VAL -,1996,,schemasql - a language for interoperability in relational multi-database systems,"laks v. s. lakshmanan, fereidoon sadri, iyer n. subramanian",VAL -,1996,
1956,0,aggregate-query processing in data warehousing environments vldb,"venky harinarayan, dallan quass, ashish gupta",VAL -,1995,VLDB,tracing the lineage of view data in a warehousing environment,"yingwei cui, jennifer widom, janet l. wiener",ACM Transactions on Database Systems (TODS),2000,VAL -
1957,0,fault-tolerant architectures for continuous media servers,VAL -,SIGMOD Conference,VAL -,VAL -,proxy-server architectures for olap,VAL -,International Conference on Management of Data,2001,VAL -
1958,0,"anatomy of a native xml base management system thorsten fiebig , till westmann , robert schiele , guido moerkotte , carl-christian kanne , julia neumann , sven helmer",VAL -,VLDB Journal,2002,,database management systems and the internet very large data bases,susan malaika,VLDB,1996,
1959,0,fine-grained sharing in a page server oodbms sigmod conference 1994,"michael j. carey, markos zaharioudakis, michael j. franklin",VAL -,VAL -,,"adaptive, fine-grained sharing in a client-server oodbms : a callback-based approach 1997","markos zaharioudakis, michael j. carey, michael j. franklin",acm transactions on database systems (tods),1997,
1960,0,relational data sharing in peer-based data management systems,"beng chin ooi, yanfeng shu, kian-lee tan",ACM SIGMOD Record,2003,VAL -,dwms : data warehouse management system,VAL -,VLDB,VAL -,VLDB
1961,0,"report on the 18th british national conference on databases (bncod) carole a. goble, brian j. read",VAL -,SIGMOD Conference,2002,VAL -,"report on the second ieee metadata conference (metadata '97) ron musick, chris miller",VAL -,ACM SIGMOD Record,VAL -,VAL -
1962,0,editor's notes sigmod record 1998,michael j. franklin,SIGMOD Conference,1998,,editorial richard snodgrass acm transactions on database systems (tods) 2001,VAL -,ACM Transactions on Database Systems,2001,
1963,0,"approximate query processing using wavelets kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",VAL -,VAL -,VAL -,,approximate query processing : taming the terabytes,"minos n. garofalakis, phillip b. gibbon",VLDB,VAL -,
1964,0,secure buffering in firm real-time database systems,"jayant r. haritsa, binto george",VAL -,2000,VLDB Journal,managing intra-operator parallelism in parallel database systems,VAL -,VLDB,1995,VLDB
1965,0,phoenix : making applications robust,VAL -,VAL -,VAL -,,phoenix project : fault-tolerant applications,"roger barga, david lomet",ACM SIGMOD Record,2002,
1966,1,the zero latency enterprise 2000,dave liles,VLDB,VAL -,,the zero latency enterprise,dave liles,VLDB,2000,
1967,1,merging ranks from heterogeneous internet sources,VAL -,VLDB,1997,,merging ranks from heterogeneous internet sources,"luis gravano, hector garcia-molina",VLDB,1997,
1968,0,on supporting containment queries in relational database management systems sigmod conference 2001,"guy m. lohman, david j. dewitt, qiong luo, jeffrey f. naughton, chun zhang",SIGMOD Conference,2001,,"unisql's next-generation object-relational database management system albert d'andrea, phil janus",VAL -,ACM SIGMOD Record,1996,
1969,0,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos, nick koudas, divesh srivastava, michail vlachos, sudipto guha",VLDB,2003,,optimization of constrained frequent set queries with 2-variable constraints,VAL -,SIGMOD Conference,1999,
1970,0,rainbow : distributed database system for classroom education and experimental research,"abdelsalam helal, hua li",VAL -,2000,,an experimental object-based sharing system for networked databases,VAL -,VLDB Journal,1996,
1971,0,secure buffering in firm real-time database systems,"jayant r. haritsa, binto george",VAL -,2000,,a database system for real-time event aggregation in telecommunication,VAL -,VLDB,1998,
1972,0,mindreader : querying databases through multiple examples 1998,"ravishankar subramanya, christos faloutsos, yoshiharu ishikawa",VLDB,VAL -,,"querying multiple features of groups in relational databases damianos chatziantoniou , kenneth a. ross 1996",VAL -,VLDB,VAL -,
1973,0,reminiscences on influential papers,"per-åke larson, luis gravano, stefano ceri, leonid libkin, tova milo, kenneth a. ross",SIGMOD Conference,2001,VAL -,reminiscences on influential papers,kenneth a. ross,ACM SIGMOD Record,2001,VAL -
1974,1,multi-dimensional substring selectivity estimation vldb,"divesh srivastava, olga kapitskaia, raymond t. ng, h. v. jagadish",VAL -,1999,,multi-dimensional substring selectivity estimation very large data bases,"h. v. jagadish, olga kapitskaia, raymond t. ng, divesh srivastava",VAL -,1999,
1975,0,implementing lazy database updates for an object database system,VAL -,VAL -,VAL -,,temporal database system implementations,VAL -,ACM SIGMOD Record,1995,
1976,1,theory of answering queries using views alon y. halevy,VAL -,ACM SIGMOD Record,VAL -,,theory of answering queries using views alon y. halevy,VAL -,ACM SIGMOD Record,2000,
1977,0,"efficient filtering of xml documents with xpath expressions rajeev rastogi , pascal felber , chee yong chan , minos n. garofalakis",VAL -,VLDB Journal,2002,VLDB Journal,evaluating queries with generalized path expressions 1996,"vassilis christophides, sophie cluet, guido moerkotte",SIGMOD Conference,VAL -,VAL -
1978,0,editorial vldb j.,"peter m. g. apers, stefano ceri, richard t. snodgrass",VAL -,2002,,guest editorial,"philip a. bernstein, yannis ioannidis, raghu ramakrishnan",VLDB Journal,2003,
1979,0,the asilomar report on database research,"gerald held, hector garcia-molina, michael lesk, jim gray, philip a. bernstein, david maier, h. v. jagadish, michael stonebraker, stefano ceri, joseph m. hellerstein, david j. dewitt, jeffrey d. ullman, michael l. brodie, jeffrey f. naughton, michael j. franklin, hamid pirahesh",ACM SIGMOD Record,1998,VAL -,"the database research group at eth zurich moira c. norrie , stephen m. blott , hans-jörg schek , gerhard weikum",VAL -,VAL -,VAL -,VAL -
1980,0,an introduction to spatial database systems,ralf hartmut güting,VAL -,1994,,an algebraic approach to rule analysis in expert database systems,VAL -,VLDB,1994,
1981,0,integration of spatial join algorithms for processing multiple inputs,VAL -,SIGMOD Conference,1999,VAL -,a raster approximation for processing of spatial joins,"geraldo zimbrao, jano moreira de souza",VLDB,1998,VLDB
1982,0,advances in real-time database systems research sigmod record,azer bestavros,SIGMOD Conference,1996,,an annotated bibliography on real-time database systems &#214; zg &#252; r ulusoy acm sigmod record 1995,VAL -,ACM SIGMOD Record,1995,
1983,0,efficient concurrency control in multidimensional access methods 1999,"sharad mehrotra, kaushik chakrabarti",sigmod conference,VAL -,,efficient search of multi-dimensional b-trees,"harry leslie, rohit jain, dave birdsall, hedieh yaghmai",vldb,1995,
1984,0,sideway value algebra for object-relational databases 2002,"z. meral özsoyoglu, gultekin özsoyoglu, abdullah al-hamdani, özgür ulusoy, selma ayse özel, ismail sengör altingövde",VLDB,VAL -,,bulk-loading techniques for object databases and an application to relational data,"sihem amer-yahia, sophie cluet, claude delobel",VAL -,VAL -,
1985,0,query unnesting in object-oriented databases,VAL -,SIGMOD Conference,VAL -,,converting relational to object-oriented databases,joseph fong,ACM SIGMOD Record,VAL -,
1986,0,"research and practice in federated information systems , report of the efis ' 2000 international workshop",VAL -,SIGMOD Conference,VAL -,,"report on the first international conference on ontologies , databases and applications of semantics ( odbase ) : part of the federated conference on the move to meaningful internet systems 2002",VAL -,ACM SIGMOD Record,VAL -,
1987,0,managing multiple and distributed ontologies on the semantic web,"boris motik, alexander maedche, ljiljana stojanovic",VAL -,VAL -,VLDB Journal,emergent semantics and the multimedia semantic web,"w. i. grosky, d. v. sreenath, f. fotouhi",ACM SIGMOD Record,2002,VAL -
1988,0,efficient and cost-effective techniques for browsing and indexing large video databases,VAL -,SIGMOD Conference,2000,,efficient index structures for string databases,VAL -,VLDB,2001,
1989,0,"research and practice in federated information systems , report of the efis ' 2000 international workshop",VAL -,SIGMOD Conference,VAL -,,"transactional information systems : theory , algorithms , and the practice of concurrency control and recovery",VAL -,ACM SIGMOD Record,2001,
1990,0,eliminating fuzzy duplicates in data warehouses vldb,"rohit ananthakrishna, venkatesh ganti, surajit chaudhuri",VAL -,2002,,expiring data in a warehouse,VAL -,VAL -,VAL -,
1991,0,an effective deductive object-oriented database through language integration 1994,"m. howard williams, norman w. paton, andrew dinn, maria l. barja, alvaro a. a. fernandes",VLDB,VAL -,,"the ccube constraint object-oriented database system alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo 1999",VAL -,SIGMOD Conference,VAL -,
1992,0,"an efficient algorithm for mining association rules in large databases edward omiecinski , shamkant b. navathe , ashok savasere",VAL -,VLDB,1995,,"algorithms for mining association rules for binary segmentations of huge categorical databases yasuhiko morimoto , takeshi fukuda , hirofumi matsuzawa , takeshi tokuyama , kunikazu yoda very large data bases",VAL -,VLDB,1998,
1993,0,mining fuzzy association rules in databases,VAL -,SIGMOD Conference,1998,,temporal aggregation in active database rules,"iakovos motakis, carlo zaniolo",SIGMOD Conference,1997,
1994,0,"optimizing multiple dimensional queries simultaneously in multidimensional databases jeffrey xu yu , weifa liang , maria e. orlowska",VAL -,VLDB Journal,2000,,explaining differences in multidimensional aggregates 1999,sunita sarawagi,VLDB,VAL -,
1995,1,the data that you wo n't find in databases : tutorial panel on data exchange formats,VAL -,SIGMOD Conference,1995,,the data that you wo n't find in databases : tutorial panel on data exchange formats,"peter buneman, david maier",SIGMOD Conference,1995,
1996,0,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction sigmod record,daniel barbará,VAL -,2001,,advanced xml data processing : guest editor 's introduction karl aberer,VAL -,acm sigmod record,2001,
1997,1,report on the 5th international workshop on the design and management of data warehouses (dmdw '03),"manfred a. jeusfeld, hans-joachim lenz, panos vassiliadis, martin staudt",ACM SIGMOD Record,2003,,report on the 5th international workshop on the design and management of data warehouses (dmdw '03),"hans j. lenz, panos vassiliadis, manfred jeusfeld, martin staudt",ACM SIGMOD Record,2003,
1998,0,reminiscences on influential papers sigmod record,"jun rao, kenneth a. ross, johannes gehrke",VAL -,2003,,influential papers ken ross 2003,VAL -,ACM SIGMOD Record,2003,
1999,0,query decomposition and view maintenance for query languages for unstructured data 1996,dan suciu,VLDB,VAL -,,query rewriting for semistructured data,VAL -,SIGMOD Conference,1999,
2000,0,guest editor 's introduction sigmod record,asuman dogac,VAL -,2002,,guest editorial,"philip a. bernstein, yannis ioannidis, raghu ramakrishnan",VLDB Journal,2003,
2001,0,mineset (tm): a system for high-end data mining and visualization ?,VAL -,VLDB,VAL -,,multimediaminer: a system prototype for multimedia data mining,"Osmar R. Za&#239;ane, Jiawei Han, Ze-nian Li, Sonny H. Chee, Jenny Y. Chiang",SIGMOD Conference,1998,
2002,0,analysis of navigation behaviour in web sites integrating multiple information systems,"myra spiliopoulou, bettina berendt",VAL -,VAL -,,quality-driven integration of heterogenous information systems,"felix naumann, ulf leser, johann christoph freytag",VLDB,1999,
2003,0,merge replication in microsoft's sql server 7.0 brad hammond,VAL -,SIGMOD Conference,1999,VAL -,microsoft index turning wizard for sql server 7.0 international conference on management of data,"surajit chaudhuri, vivek narasayya",International Conference on Management of Data,1998,VAL -
2004,0,mpeg-7 and multimedia database systems harald kosch 2002,VAL -,SIGMOD Conference,VAL -,,"multimediaminer : a system prototype for multimedia data mining osmar r. za&#239;ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang","osmar r. za&#239;ane, jiawei han, ze-nian li, sonny h. chee, jenny y. chiang",SIGMOD Conference,1998,
2005,0,join index hierarchies for supporting efficient navigations in object-oriented databases,VAL -,VLDB,VAL -,,an efficient algorithm for mining association rules in large databases,"ashoka savasere, edward omiecinski, shamkant b. navathe",VLDB,1995,
2006,0,promises and realities of active database systems 1995,"eric simon, angelika kotz dittrich",VLDB,VAL -,,improving timeliness in real-time secure database systems acm sigmod record 1996,"sang h. son, rasikan david, bhavani thuraisingham",ACM SIGMOD Record,VAL -,
2007,0,editor's notes sigmod record 2001,ling liu,VAL -,VAL -,,editorial richard snodgrass acm transactions on database systems (tods) 2001,VAL -,ACM Transactions on Database Systems,2001,
2008,0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"alfons kemper, reinhard braumandl, jens claußen",VAL -,1998,,index nesting - an efficient approach to indexing in object-oriented databases,VAL -,VLDB Journal,1996,
2009,0,an extensible compressor for xml data,VAL -,ACM SIGMOD Record,VAL -,,query engines for web-accessible xml data,"leonidas fegaras, ramez elmasri",VLDB,VAL -,
2010,0,view maintenance in mobile computing 1995,"ouri wolfson, kailash narayanan, son dao, ramya raj, a. prasad sistla",sigmod record,VAL -,,view maintenance in a warehousing environment international conference on management of data,"yue zhuge, h &#233; ctor garc &#237; a-molina, joachim hammer, jennifer widom",sigmod conference,1995,
2011,0,query optimization in compressed database systems,VAL -,SIGMOD Conference,2001,VAL -,the implementation and performance of compressed databases,VAL -,ACM SIGMOD Record,2000,VAL -
2012,0,editor's notes ling liu sigmod record,VAL -,SIGMOD Conference,2003,VAL -,editorial richard snodgrass acm transactions on database systems (tods),VAL -,TODS,2001,VAL -
2013,0,sap r/3 : a database application system ( tutorial ),"alfons kemper, florian matthes, donald kossmann",SIGMOD Conference,1998,VAL -,"object-relational database systems ( tutorial ) : principles , products and challenges","michael j. carey, nelson m. mattos, anil k. nori",SIGMOD Conference,1997,VAL -
2014,0,cost estimation of user-defined methods in object-relational database systems 1999,"kinji ono, jihad boulos",ACM SIGMOD Record,VAL -,,cost-driven vertical class partitioning for methods in object oriented databases 2003,"chi-wai fung, kamalakar karlapalem, qing li",VLDB Journal,2003,
2015,0,multi-dimensional substring selectivity estimation vldb,"divesh srivastava, olga kapitskaia, raymond t. ng, h. v. jagadish",VAL -,1999,VLDB,wavelet-based histograms for selectivity estimation international conference on management of data 1998,"yossi matias, jeffrey scott vitter, min wang",International Conference on Management of Data,1998,VAL -
2016,0,query unnesting in object-oriented databases,VAL -,sigmod conference,VAL -,,lambda-db : an odmg-based object-oriented dbms,"leonidas fegaras, chandrasekhar srinivasan, arvind rajendran, david maier",international conference on management of data,2000,
2017,1,"checking the temporal integrity of interactive multimedia documents s. tserkezoglou , timos k. sellis , barbara pernici , michalis vazirgiannis , isabelle mirbel vldb j.",VAL -,VAL -,2000,VLDB Journal,checking the temporal integrity of interactive multimedia documents,"i. mirbel , b. pernici , t. sellis , s. tserkezoglou , m. vazirgiannis",VLDB Journal,2000,VLDB Journal
2018,0,the araneus web-base management system sigmod conference,"giansalvatore mecca, paolo merialdo, alessandro masci, paolo atzeni, giuseppe sindoni",SIGMOD Conference,1998,,database management systems and the internet very large data bases,susan malaika,VLDB,1996,
2019,0,mind your vocabulary : query mapping across heterogeneous information sources sigmod conference,"kevin chen-chuan chang, hector garcia-molina",VAL -,1999,SIGMOD Conference,"rate-based query optimization for streaming information sources stratis d. viglas , jeffrey f. naughton",VAL -,SIGMOD Conference,2002,SIGMOD Conference
2020,1,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,"windsor w. hsu, alan jay smith, honesty c. young",ACM Trans . Database Syst .,2001,VAL -,i/o reference behavior of production database workloads and the tpc benchmarks-an analysis at the logical level,"windsor w. hsu, alan jay smith, honesty c. young",ACM SIGMOD Record,2001,VAL -
2021,0,exploiting statistics on query expressions for optimization,"nicolas bruno, surajit chaudhuri",SIGMOD Conference,VAL -,,bringing order to query optimization,VAL -,ACM SIGMOD Record,2002,
2022,0,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",VAL -,ACM Trans. Database Syst.,1994,VAL -,converting relational to object-oriented databases,joseph fong,ACM SIGMOD Record,VAL -,VAL -
2023,0,"structures for manipulating proposed updates in object-oriented databases richard hull , mohammed rupawalla , michael doherty 1996",VAL -,sigmod conference,VAL -,,query unnesting in object-oriented databases international conference on management of data,leonidas fegaras,sigmod conference,1998,
2024,0,aggregate-query processing in data warehousing environments vldb,"venky harinarayan, dallan quass, ashish gupta",VAL -,1995,,incremental clustering for mining in a data warehousing environment,"martin ester, hans-peter kriegel, jörg sander, michael wimmer, xiaowei xu",VLDB,1998,
2025,0,"semantic integration of semistructured and structured data sources sonia bergamaschi , maurizio vincini , silvana castano",VAL -,SIGMOD Conference,1999,,semistructured and structured data in the web : going back and forth,"paolo atzeni, giansalvatore mecca, paolo merialdo",ACM SIGMOD Record,1997,
2026,0,knowledge discovery in data warehouses sigmod record,themistoklis palpanas,VAL -,2000,,issues in developing very large data warehouses,"lyman do, pamela drew, wei jin, vish jumani, david van rossum",VLDB,1998,
2027,0,approximate string joins in a database ( almost ) for free,"luis gravano, h. v. jagadish, panagiotis g. ipeirotis, s. muthukrishnan, divesh srivastava, nick koudas",VLDB,2001,,an approximate search engine for structural databases,VAL -,International Conference on Management of Data,2000,
2028,0,versant replication : supporting fault-tolerant object databases 1995,"h. stephen au-yeung, c. p. chou, yuh-ming shyy",sigmod conference,VAL -,,"on-line reorganization in object databases mohana k. lakhamraju , rajeev rastogi , s. seshadri , s. sudarshan international conference on management of data",VAL -,international conference on management of data,2000,
2029,0,the reach active oodbms,"alin deutsch, jürgen zimmermann, m. higa, alejandro p. buchmann",sigmod conference,1995,VAL -,"the samos active dbms prototype stella gatziu , andreas geppert , klaus r. dittrich",VAL -,sigmod conference,1995,VAL -
2030,0,fast algorithms for universal quantification in large databases,"goetz graefe, richard l. cole",ACM Trans. Database Syst.,1995,VAL -,aggregation algorithms for very large compressed data warehouses,VAL -,VAL -,VAL -,VLDB
2031,1,vist : a dynamic index method for querying xml data by tree structures,VAL -,SIGMOD Conference,VAL -,VAL -,vist : a dynamic index method for querying xml data by tree structures,VAL -,SIGMOD Conference,2003,VAL -
2032,0,"locally adaptive dimensionality reduction for indexing large time series databases kaushik chakrabarti , eamonn j. keogh , michael j. pazzani , sharad mehrotra 2002",VAL -,ACM Trans . Database Syst .,VAL -,,local dimensionality reduction : a new approach to indexing high dimensional spaces,"kaushik chakrabarti , sharad mehrotra",VLDB,2000,
2033,0,phrase matching in xml,VAL -,VAL -,2003,,pix : exact and approximate phrase matching in xml,"sihem amer-yahia, mary fernández, divesh srivastava, yu xu",SIGMOD Conference,2003,
2034,1,safe stratified datalog with integer order does not have syntax,"alexei p. stolboushkin, michael a. taitslin",ACM Transactions on Database Systems,1998,VAL -,safe stratified datalog with integer order does not have syntax,VAL -,ACM Transactions on Database Systems,1998,VAL -
2035,0,dbcache : database caching for web application servers 2002,"sailesh krishnamurthy, c. mohan, larry brown, hamid pirahesh, mehmet altinel, honguk woo, qiong luo, bruce g. lindsay",SIGMOD Conference,VAL -,,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton","qiong luo, sailesh krishnamurthy, c. mohan, hamid pirahesh, honguk woo, bruce g. lindsay, jeffrey f. naughton",SIGMOD Conference,2002,
2036,0,efficient index structures for string databases,VAL -,VAL -,VAL -,,efficient and cost-effective techniques for browsing and indexing large video databases,VAL -,SIGMOD Conference,VAL -,
2037,1,hypertext databases and data mining soumen chakrabarti 1999,VAL -,SIGMOD Conference,VAL -,,hypertext databases and data mining soumen chakrabarti international conference on management of data,VAL -,SIGMOD Conference,1999,
2038,0,efficient testing of high performance transaction processing systems 1997,"d. wildfogel, ramana yerneni",VLDB,VAL -,,evaluation of remote backup algorithms for transaction-processing systems,"christos a. polyzois, h &#233; ctor garc &#237; a-molina",TODS,1994,
2039,1,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,VAL -,ACM SIGMOD Record,2003,,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,"eugene inseok chong, jagannathan srinivasan, souripriya das, chuck freiwald, aravind yalamanchi, mahesh jagannath, anh-tuan tran, ramkumar krishnan, richard jiang",ACM SIGMOD Record,2003,
2040,0,algebraic query optimisation for database programming languages,"carol small, alexandra poulovassilis",VAL -,1996,VLDB Journal,automatic discovery of language models for text databases,VAL -,SIGMOD Conference,1999,VLDB
2041,0,"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger",VAL -,SIGMOD Conference,VAL -,,"accessing a relational database through an object-oriented database interface jack a. orenstein , d. n. kamber",VAL -,VLDB,VAL -,
2042,0,exploiting versions for on-line data warehouse maintenance in molap servers,"heum-geun kang, chin-wan chung",VAL -,VAL -,,multiple-view self-maintenance in data warehousing environments,VAL -,VLDB,1997,
2043,0,data mining with optimized two-dimensional association rules,"takeshi tokuyama, yasuhiko morimoto, shinichi morishita, takeshi fukuda",ACM Trans. Database Syst.,2001,VAL -,a template model for multidimensional inter-transactional association rules,VAL -,VLDB Journal,2002,VLDB Journal
2044,0,lineage tracing for general data warehouse transformations,"yingwei cui, jennifer widom",VLDB,2001,,data extraction and transformation for the data warehouse,case squire,SIGMOD Conference,VAL -,
2045,0,a raster approximation for processing of spatial joins,"jano moreira de souza, geraldo zimbrao",VLDB,1998,VLDB,"approximate xml joins sudipto guha, h. v. jagadish, nick koudas, divesh srivastava, ting yu",VAL -,SIGMOD Conference,2002,VAL -
2046,0,"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan",VAL -,VLDB,1994,,extraction of object-oriented structures from existing relational databases acm sigmod record,"shekar ramanathan , julia hodges",ACM SIGMOD Record,1997,
2047,0,towards self-tuning data placement in parallel database systems sigmod conference,"mong-li lee, beng chin ooi, anirban mondal, kian-lee tan, masaru kitsuregawa",SIGMOD Conference,2000,,dynamic multi-resource load balancing in parallel database systems,"erhard rahm, robert marek",VLDB,VAL -,
2048,0,data extraction and transformation for the data warehouse,VAL -,SIGMOD Conference,1995,,concurrency in the data warehouse 2000,richard taylor,VLDB,VAL -,
2049,0,managing intervals efficiently in object-relational databases,"thomas seidl, marco pötke, hans-peter kriegel",VAL -,VAL -,,index nesting - an efficient approach to indexing in object-oriented databases,VAL -,VLDB Journal,1996,
2050,0,"structures for manipulating proposed updates in object-oriented databases richard hull , mohammed rupawalla , michael doherty 1996",VAL -,SIGMOD Conference,VAL -,,"a data model and data structures for moving objects databases luca forlizzi , ralf hartmut gü ting , enrico nardelli , markus schneider 2000",VAL -,International Conference on Management of Data,2000,
2051,0,"dynamic service matchmaking among agents in open information environments matthias klusch , katia p. sycara , seth widoff , jianguo lu","matthias klusch, katia p. sycara, seth widoff, jianguo lu",SIGMOD Conference,1999,VAL -,environmental information systems oliver g &#252; nther acm sigmod record,VAL -,ACM SIGMOD Record,1997,VAL -
2052,0,opportunities in information management and assurance,VAL -,SIGMOD Conference,1997,,research activities in database management and information retrieval at university of illinois at chicago,"isabel cruz, ashfaq khokhar, bing liu, prasad sistla, ouri wolfson, clement yu",ACM SIGMOD Record,2002,
2053,0,"an efficient algorithm for mining association rules in large databases edward omiecinski , shamkant b. navathe , ashok savasere",VAL -,VLDB,1995,,"efficient algorithms for mining outliers from large data sets sridhar ramaswamy , rajeev rastogi , kyuseok shim international conference on management of data",VAL -,SIGMOD Conference,2000,
2054,0,temporal database system implementations michael h. böhlen 1995,VAL -,SIGMOD Conference,VAL -,,"implementation of magic-sets in a relational database system inderpal singh mumick , hamid pirahesh",VAL -,International Conference on Management of Data,1994,
2055,0,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",VAL -,VLDB,1994,VLDB,the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",ACM SIGMOD Record,1998,VAL -
2056,0,the mariposa distributed database management system sigmod record 1996,jeff sidell,VAL -,VAL -,,strudel : a web site management system 1997,"mary fernandez, daniela florescu, jaewoo kang, alon levy, dan suciu",SIGMOD Conference,1997,
2057,0,research in database engineering at the university of namur sigmod record,jean-luc hainaut,VAL -,2003,VAL -,database research at the university of illinois at urbana-champaign,"m. winslett, k. chang, a. doan, j. han, c. zhai, y. zhou",acm sigmod record,2002,VAL -
2058,0,dynamic maintenance of wavelet-based histograms,"yossi matias, jeffrey scott vitter, min wang",VAL -,VAL -,VAL -,wavelet-based histograms for selectivity estimation,"yossi matias, jeffrey scott vitter, min wang",SIGMOD Conference,1998,VAL -
2059,0,information rules,dale a. stirling,ACM SIGMOD Record,2003,VAL -,infomaster : an information integration system,VAL -,International Conference on Management of Data,1997,VAL -
2060,0,"rights protection for relational data sunil prabhakar , radu sion , mikhail j. atallah",VAL -,sigmod conference,VAL -,,a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",sigmod conference,2003,
2061,0,the onion technique : indexing for linear optimization queries,VAL -,SIGMOD Conference,VAL -,VAL -,fast evaluation techniques for complex similarity queries,"klemens b &#246; hm, michael mlivoncic, hans-j &#246; rg schek, roger weber",VLDB,2001,VLDB
2062,0,data management challenges in crm,VAL -,SIGMOD Conference,VAL -,,data management for earth system science,"james frew, jeff dozier",ACM SIGMOD Record,VAL -,
2063,0,an adaptive query execution system for data integration,"daniel s. weld, alon y. levy, marc friedman, zachary g. ives, daniela florescu",sigmod conference,1999,VAL -,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,VAL -,international conference on management of data,2000,VAL -
2064,0,reminiscences on influential papers richard t. snodgrass,VAL -,ACM SIGMOD Record,1999,VAL -,reminiscences on influential papers,kenneth a. ross,ACM SIGMOD Record,2003,VAL -
