id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
1865,0,On Schema Matching with Opaque Column Names and Data Values,"Jaewoo Kang, Jeffrey F. Naughton",SIGMOD Conference,2003,Generic Schema Matching with Cupid,"Jayant Madhavan, Philip A. Bernstein, Erhard Rahm",VLDB,2001
1866,0,SQL Query Optimization : Reordering for a General Class of Queries,"Piyush Goel, Balakrishna R. Iyer",SIGMOD Conference,1996,Optimal Clip Ordering for Multi-Clip Queries,"Raymond T. Ng, Paul Shum",VLDB Journal,1998
1867,0,On-Line Warehouse View Maintenance,"Jennifer Widom, Dallan Quass",SIGMOD Conference,1997,Efficient View Maintenance at Data Warehouses,"D. Agrawal, A. El Abbadi, A. Singh, T. Yurek",International Conference on Management of Data,1997
1868,0,Database Research at the University of Oklahoma SIGMOD Record,"Sirirut Vanichayobon, Leonard Brown, Ravi A. Dirckze, Sylvain Guinepain, Carlos Sánchez, Le Gruenwald, Brian Summers",ACM SIGMOD Record,1999,Database Research at the University of Illinois at Urbana-Champaign,"M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou",ACM SIGMOD Record,2002
1869,0,Efficiently Publishing Relational Data as XML Documents,"Berthold Reinwald, Jayavel Shanmugasundaram, Michael J. Carey, Eugene J. Shekita, Hamid Pirahesh, Bruce G. Lindsay, Rimon Barr",VLDB,2000,Managing Intervals Efficiently in Object-Relational Databases,"Hans-Peter Kriegel, Marco Pötke, Thomas Seidl",VLDB,2000
1870,0,Incremental Organization for Data Recording and Warehousing,"S. Sudarshan, P. P. S. Narayan, Rama Kanneganti, H. V. Jagadish, S. Seshadri",VLDB,1997,Data Integration and Warehousing in Telecom Italia,VAL -,SIGMOD Conference,1999
1871,0,Data and Knowledge Base Research at Hong Kong University of Science and Technology,"Babak Hamidzadeh, Kamalakar Karlapalem, Qing Li, Chung-Dak Shum, Dik Lun Lee, Frederick H. Lochovsky, Beat Wüthrich, Alex Chia-Yee Kean, Pamela Drew",ACM SIGMOD Record,1995,The Database and Information System Research Group at the University of Ulm,"Peter Dadam, Wolfgang Klas",ACM SIGMOD Record,1997
1872,0,Sentinel: An Object-Oriented DBMS with Event-Based Rules,Sharma Chakravarthy,SIGMOD Conference,1997,Lambda-DB : An ODMG-Based Object-Oriented DBMS,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",International Conference on Management of Data,2000
1873,0,SQL Query Optimization: Reordering for a General Class of Queries,"Piyush Goel, Balakrishna R. Iyer",SIGMOD Conference,1996,Providing Better Support for a Class of Decision Support Queries,"Sudhir G. Rao, Antonio Badia, Dirk Van Gucht",International Conference on Management of Data,VAL -
1874,0,Database Research at Columbia University,"Kenneth A. Ross, Gail E. Kaiser, Luis Gravano, Salvatore J. Stolfo, Shih-Fu Chang",ACM SIGMOD Record,1998,Database Research at the University of Oklahoma ACM SIGMOD Record,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",VAL -,1999
1875,1,On Optimal Node Splitting for R-Trees,"Yván J. García, Scott T. Leutenegger, Mario A. López",VLDB,1998,On Optimal Node Splitting for R-Trees,"Yván J. García, Mario A. López, Scott T. Leutenegger",VLDB,VAL -
1876,0,Mining Deviants in a Time Series Database,"S. Muthukrishnan, H. V. Jagadish, Nick Koudas",VLDB,1999,Fast Subsequence Matching in Time-Series Databases,"Christos Faloutsos, M. Ranganathan, Yannis Manolopoulos",SIGMOD Conference,1994
1877,0,A System for Watermarking Relational Databases,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",SIGMOD Conference,2003,Formal Query Languages for Secure Relational Databases,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",TODS,VAL -
1878,0,New Sampling-Based Summary Statistics for Improving Approximate Query Answers,"Phillip B. Gibbons, Yossi Matias",SIGMOD Conference,1998,Icicles: Self-Tuning Samples for Approximate Query Answering,"Venkatesh Ganti, Mong-Li Lee, Raghu Ramakrishnan",VLDB,VAL -
1879,0,"Report on the 10th Conference on Database Systems for Business, Technology, and the Web (BTW 2003)","Erhard Rahm, Harald Schöning, Gerhard Weikum",ACM SIGMOD Record,2003,Report on the 18th British National Conference on Databases (BNCOD),"Carole Goble, Brian Read",ACM SIGMOD Record,2002
1880,0,Secure Bufering in Firm Real-Time Database Systems,"Jayant R. Haritsa, Binto George",VLDB Journal,2000,Deeds Towards a Distributed and Active Real-Time Database System,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record,1996
1881,0,Query Processing Techniques for Arrays,"Kenneth Salem, Arunprasad P. Marathe",SIGMOD Conference,1999,Approximate Query Processing Using Wavelets,"Kaushik Chakrabarti, Minos Garofalakis, Rajeev Rastogi, Kyuseok Shim",VLDB Journal,2001
1882,0,The Design and Implementation of a Sequence Database System,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1996,Implementation of Magic-Sets in a Relational Database System,"Inderpal Singh Mumick, Hamid Pirahesh",SIGMOD Conference,1994
1883,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2002,Book Reviews ACM SIGMOD Record 2002,Karl Aberer,VAL -,VAL -
1884,0,Sampling Large Databases for Association Rules,Hannu Toivonen,VLDB,1996,Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",TODS,2002
1885,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2002,Book Reviews,VAL -,ACM SIGMOD Record,VAL -
1886,0,Data Grid Management Systems,"Arun Jagatheesan, Arcot Rajasekar",SIGMOD Conference,2003,Aurora: A Data Stream Management System,"D. Abadi, D. Carney, U. Çetintemel, M. Cherniack, C. Convey, C. Erwin, E. Galvez, M. Hatoun, A. Maskey, A. Rasin, A. Singer, M. Stonebraker, N. Tatbul, Y. Xing, R. Yan, S. Zdonik",International Conference on Management of Data,2003
1887,0,Clio: A Semi-Automatic Tool for Schema Mapping,"Laura M. Haas, Renée J. Miller, Mauricio A. Hernández",SIGMOD Conference,2001,A Survey of Approaches to Automatic Schema Matching,"Erhard Rahm, Philip A. Bernstein",VLDB Journal,2001
1888,0,Efficient Snapshot Differential Algorithms for Data Warehousing,"Hector Garcia-Molina, Wilburt Labio",VLDB,1996,Efficient Algorithms for Mining Outliers from Large Data Sets,VAL -,International Conference on Management of Data,2000
1889,0,DYDA : Data Warehouse Maintenance in Fully Concurrent Environments,"Songting Chen, Andreas Koeller, Elke A. Rundensteiner, Xin Zhang, Jun Chen",SIGMOD Conference,2001,Performance Issues in Incremental Warehouse Maintenance,"Wilburt Labio, Jun Yang, Yingwei Cui, Hector Garcia-Molina, Jennifer Widom",VLDB,2000
1890,0,Merging Ranks from Heterogeneous Internet Sources,"Hector Garcia-Molina, Luis Gravano",VLDB,1997,Approximate Query Translation Across Heterogeneous Information Sources,"Kevin Chen-Chuan Chang, Hector Garcia-Molina",VLDB,VAL -
1891,0,Reminiscences on Influential Papers,"James R. Hamilton, Limsoon Wong, Kenneth A. Ross, Laks V. S. Lakshmanan",ACM SIGMOD Record,2001,Reminiscences in Influential Papers,Richard Snodgrass,ACM SIGMOD Record,VAL -
1892,0,Materialized Views and Data Warehouses,Nick Roussopoulos,ACM SIGMOD Record,1998,Materialized Views in Oracle,"Randall G. Bello, Karl Dias, Alan Downing, James J. Feenan Jr., James L. Finnerty, William D. Norcott, Harry Sun, Andrew Witkowski, Mohamed Ziauddin",VLDB,1998
1893,0,Type Classification of Semi-Structured Documents,"Allen Luniewski, Markus Tresch, Neal Palmer",VLDB Journal,1995,Management of Semistructured Data,VAL -,ACM SIGMOD Record,1997
1894,0,Cost Estimation of User-Defined Methods in Object-Relational Database Systems,"Kinji Ono, Jihad Boulos",ACM SIGMOD Record,1999,Relational Data Sharing in Peer-Based Data Management Systems,"Beng Chin Ooi, Yanfeng Shu, Kian-Lee Tan",ACM SIGMOD Record,2003
1895,0,Adaptive Parallel Aggregation Algorithms,"Jeffrey F. Naughton, Ambuj Shatdal",SIGMOD Conference,1995,Adaptive Algorithms for Set Containment Joins ACM Transactions on Database Systems (TODS),"Sergey Melnik, Hector Garcia-Molina",TODS,VAL -
1896,0,Standards in Practice,"Jim Melton, Andrew Eisenberg",ACM SIGMOD Record,1998,Standards ACM SIGMOD Record,Andrew Eisenberg,VAL -,2002
1897,0,The Asilomar Report on Database Research,"Gerald Held, Hector Garcia-Molina, Michael Lesk, Jim Gray, Philip A. Bernstein, David Maier, H. V. Jagadish, Michael Stonebraker, Stefano Ceri, Joseph M. Hellerstein, David J. Dewitt, Jeffrey D. Ullman, Michael L. Brodie, Jeffrey F. Naughton, Michael J. Franklin, Hamid Pirahesh",ACM SIGMOD Record,1998,The Jungle Database Search Engine,VAL -,SIGMOD Conference,1999
1898,1,"Title , Foreword , Preface to the Special Issue on Spatial Database Systems , Index Vol . 3",VAL -,VLDB Journal,1994,Special Issue on Spatial Database Systems,H. J. Schek,VLDB Journal,1994
1899,0,On Processing XML in LDAP,"Pedro José Marrón, Georg Lausen",VLDB Journal,2001,XPath Processing in a Nutshell,"Georg Gottlob, Christoph Koch, Reinhard Pichler",ACM SIGMOD Record,2003
1900,0,"Database Research at the Indian Institute of Technology, Bombay","S. Seshadri, Nandlal L. Sarda, D. B. Phatak, S. Sudarshan",ACM SIGMOD Record,1996,Database Research at the University of Oklahoma ACM SIGMOD Record,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",VAL -,1999
1901,0,Temporal Slicing in the Evaluation of XML Queries,"Richard T. Snodgrass, Dengfeng Gao",VLDB,2003,Evaluating Top-K Selection Queries,VAL -,VLDB,VAL -
1902,0,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Jiawei Han, Zhaohui Xie",VLDB,1994,Extraction of Object-Oriented Structures from Existing Relational Databases,"Shekar Ramanathan, Julia Hodges",ACM SIGMOD Record,1997
1903,0,A Performance Evaluation of OID Mapping Techniques,"André Eickler, Carsten Andreas Gerlhof, Donald Kossmann",VLDB,1995,Parallelizing OODBMS Traversals: A Performance Evaluation,"David J. De Witt, Jeffrey F. Naughton, John C. Shafer, Shivakumar Venkataraman",VLDB Journal,1996
1904,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2001,Book Review Column Karl Aberer ACM SIGMOD Record,VAL -,VAL -,2003
1905,0,Aggregate-Query Processing in Data Warehousing Environments,"Venky Harinarayan, Dallan Quass, Ashish Gupta",VLDB,1995,The Challenge of Process Data Warehousing,"Matthias Jarke, Thomas List, Jörg Köller",VLDB,VAL -
1906,1,Fintime - A Financial Time Series Benchmark,"Kaippallimalil J. Jacob, Dennis Shasha",ACM SIGMOD Record,1999,Fintime: A Financial Time Series Benchmark,VAL -,ACM SIGMOD Record,1999
1907,0,Reminiscences on Influential Papers,"Jan Van Den Bussche, Surajit Chaudhuri, Moshe Y. Vardi, Kenneth A. Ross, Gösta Grahne, H. V. Jagadish",ACM SIGMOD Record,1999,Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2002
1908,0,Meaningful Change Detection in Structured Data,"Hector Garcia-Molina, Sudarshan S. Chawathe",SIGMOD Conference,1997,Change Detection in Hierarchically Structured Information,"Sudarshan S. Chawathe, Anand Rajaraman, Hector Garcia-Molina, Jennifer Widom",International Conference on Management of Data,VAL -
1909,0,Guest Editorial VLDB J.,"Vijay Atluri, Anupam Joshi, Yelena Yesha",VLDB Journal,2003,Editorial,Richard Snodgrass,TODS,2001
1910,0,Functional-Join Processing,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann, Jens Claußen",VLDB Journal,2000,Sequence Query Processing,VAL -,SIGMOD Conference,1994
1911,1,Infomaster: An Information Integration System,"Arthur M. Keller, Michael R. Genesereth, Oliver M. Duschka",SIGMOD Conference,1997,Infomaster: An Information Integration System,"Michael R. Genesereth, Arthur M. Keller, Oliver M. Duschka",International Conference on Management of Data,1997
1912,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2003,Book Reviews,VAL -,VAL -,VAL -
1913,0,Querying Heterogeneous Information Sources Using Source Descriptions,"Anand Rajaraman, Alon Y. Levy, Joann J. Ordille",VLDB,1996,Using Semantic Values to Facilitate Interoperability Among Heterogeneous Information Systems,"Edward Sciore, Michael Siegel, Arnon Rosenthal",TODS,1994
1914,0,"Data Management in Ecommerce: The Good, the Bad, and the Ugly",Avigdor Gal,SIGMOD Conference,2000,Database Management Systems and the Internet,Susan Malaika,VLDB,1996
1915,0,Automated Selection of Materialized Views and Indexes in SQL Databases,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",VLDB,2000,Automated Resolution of Semantic Heterogeneity in Multidatabases,"M. W. Bright, A. R. Hurson, S. Pakzad",TODS,1994
1916,0,Integrating Mining with Relational Database Systems: Alternatives and Implications,"Shiby Thomas, Rakesh Agrawal, Sunita Sarawagi",SIGMOD Conference,1998,Temporal Database System Implementations Michael H. Böhlen,VAL -,ACM SIGMOD Record,1995
1917,1,Progressive Evaluation of Nested Aggregate Queries,"Cheng Hian Goh, Beng Chin Ooi, Kian-Lee Tan",VLDB Journal,2000,Progressive Evaluation of Nested Aggregate Queries,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",VLDB Journal,2000
1918,1,Change Detection in Hierarchically Structured Information,"Jennifer Widom, Sudarshan S. Chawathe, Hector Garcia-Molina, Anand Rajaraman",SIGMOD Conference,1996,Change Detection in Hierarchically Structured Information,"Sudarshan S. Chawathe, Anand Rajaraman, Hector Garcia-Molina, Jennifer Widom",International Conference on Management of Data,VAL -
1919,0,Sprint: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",VLDB,1996,"Ratio Rules: A New Paradigm for Fast , Quantifiable Data Mining",VAL -,Very Large Data Bases,VAL -
1920,0,Evaluating Top-K Selection Queries,"Luis Gravano, Surajit Chaudhuri",VLDB,1999,Parallel Evaluation of Multi-Join Queries,"Annita N. Wilschut, Jan Flokstra, Peter M. G. Apers",SIGMOD Conference,VAL -
1921,0,Groupwise Processing of Relational Queries,"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997,Querying XML Views of Relational Data,"Jayavel Shanmugasundaram, Jerry Kiernan, Eugene J. Shekita, Catalina Fan, John Funderburk",VLDB,2001
1922,0,Unisql/X Unified Relational and Object-Oriented Database System,Won Kim,SIGMOD Conference,1994,The Algernon Testbed of CHIMERA: An Active Object-Oriented Database System,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",International Conference on Management of Data,1995
1923,0,Efficient View Maintenance at Data Warehouses,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",SIGMOD Conference,1997,Efficient Resumption of Interrupted Warehouse Loads,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data,2000
1924,0,Dynamic Sample Selection for Approximate Query Processing,"Gautam Das, Surajit Chaudhuri, Brian Babcock",SIGMOD Conference,2003,A Raster Approximation for Processing of Spatial Joins,"Geraldo Zimbrao, Jano Moreira de Souza",VLDB,1998
1925,0,Distance-Based Indexing for High-Dimensional Metric Spaces,"Z. Meral Özsoyoglu, Tolga Bozkaya",SIGMOD Conference,1997,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,"Kaushik Chakrabarti, Sharad Mehrotra",VLDB,2000
1926,0,Efficient Geometry-Based Similarity Search of 3D Spatial Databases,VAL -,SIGMOD Conference,1999,Efficient Retrieval of Similar Shapes,"Davood Rafiei, Alberto O. Mendelzon",VLDB Journal,VAL -
1927,1,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. Vandermeer",TODS,1999,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Debra E. Vandermeer, Aslihan Celik, Vijay Kumar",VAL -,VAL -
1928,0,Business Data Management for B2B Electronic Commerce,"Manfred A. Jeusfeld, Mareike Schoop, Christoph Quix",ACM SIGMOD Record,2002,Data Management Issues in Electronic Commerce: Guest Editor's Introduction,Asuman Dogac,ACM SIGMOD Record,VAL -
1929,0,Mosaico - A System for Conceptual Modeling and Rapid Prototyping of Object-Oriented Database Application,"M. Toiati, Michele Missikoff",SIGMOD Conference,1994,"Calibrating the Query Optimizer Cost Model of Iro-DB , An Object-Oriented Federated Database System","Georges Gardarin, Fei Sha, Zhao-Hui Tang",VLDB,1996
1930,0,Database Management Systems and the Internet,VAL -,VLDB Journal,1996,The ORES Temporal Database Management System,"Babis Theodoulidis, Aziz Ait-Braham, George Andrianopoulos, Jayant Chaudhary, George Karvelis, Simon Sou",SIGMOD Conference,1994
1931,0,The Algres Testbed of Chimera: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",SIGMOD Conference,1995,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Christine Collet, Thierry Coupaye, T. Svesen",VLDB,VAL -
1932,1,Turbo-Charging Vertical Mining of Large Databases,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",SIGMOD Conference,2000,Turbo-Charging Vertical Mining of Large Databases International Conference on Management of Data,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",VAL -,VAL -
1933,0,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996,Aurora: A Data Stream Management System,"D. Abadi, D. Carney, U. Çetintemel, M. Cherniack, C. Convey, C. Erwin, E. Galvez, M. Hatoun, A. Maskey, A. Rasin, A. Singer, M. Stonebraker, N. Tatbul, Y. Xing, R. Yan, S. Zdonik",International Conference on Management of Data,2003
1934,0,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996,Document Management as a Database Problem,Rudolf Bayer,VLDB,1995
1935,0,Storing and Querying Ordered XML Using a Relational Database System,"Kevin S. Beyer, Jayavel Shanmugasundaram, Chun Zhang, Igor Tatarinov, Stratis Viglas, Eugene J. Shekita",SIGMOD Conference,2002,On Supporting Containment Queries in Relational Database Management Systems,"Chun Zhang, Jeffrey Naughton, David Dewitt, Qiong Luo, Guy Lohman",International Conference on Management of Data,2001
1936,0,Disima: A Distributed and Interoperable Image Database System,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer Özsu",SIGMOD Conference,2000,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996
1937,1,Optimization of Queries with User-Defined Predicates,"Surajit Chaudhuri, Kyuseok Shim",VLDB,1996,Optimization of Queries with User-Defined Predicates,VAL -,Very Large Data Bases,1996
1938,0,Probabilistic Object Bases,"Thomas Eiter, V. S. Subrahmanian, Thomas Lukasiewicz, James J. Lu",TODS,2001,Probabilistic Optimization of Top N Queries,"Donko Donjerkovic, Raghu Ramakrishnan",VLDB,1999
1939,0,Report on First International Workshop on Real-Time Database Systems,"Sang Hyuk Son, Kwei-Jay Lin, Azer Bestavros",ACM SIGMOD Record,1996,Secure Transaction Processing in Firm Real-Time Database Systems,"Binto George, Jayant Haritsa",International Conference on Management of Data,VAL -
1940,1,The Aggregate Data Problem: A System for Their Definition and Management,"Leonardo Tininini, Antonia Bezenchek, Maurizio Rafanelli",ACM SIGMOD Record,1996,The Aggregate Data Problem: A System for Their Definition and Management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record,1996
1941,0,Spatial Data Management for Computer Aided Design,"Andreas Müller, Marco Pötke, Thomas Seidl, Hans-Peter Kriegel",SIGMOD Conference,2001,Networked Data Management: Design Points,James R. Hamilton,VLDB,1999
1942,0,Document Management as a Database Problem,Rudolf Bayer,VLDB,1995,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996
1943,0,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Jiawei Han, Zhaohui Xie",VLDB,1994,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh",VLDB,2001
1944,1,An Approximate Search Engine for Structural Databases,"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro",SIGMOD Conference,2000,"An Approximate Search Engine for Structural Databases Jason T. L. Wang, Xiong Wang, Dennis Shasha, Bruce A. Shapiro, Kaizhong Zhang, Qicheng Ma, Zasha Weinberg International Conference on Management of Data",VAL -,VAL -,VAL -
1945,0,Supporting Top-K Join Queries in Relational Databases,"Walid G. Aref, Ahmed K. Elmagarmid, Ihab F. Ilyas",VLDB Journal,2003,Efficiently Instantiating View-Objects from Remote Relational Databases,"Byung Suk Lee, Gio Wiederhold",The VLDB Journal — The International Journal on Very Large Data Bases,1994
1946,0,Sideway Value Algebra for Object-Relational Databases,"Z. Meral Özsoyoglu, Gultekin Özsoyoglu, Abdullah Al-Hamdani, Özer Ulusoy, Selma Ayse Özel, Ismail Sengör Altingövde",VLDB,2002,Formal Query Languages for Secure Relational Databases,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",TODS,1994
1947,1,Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2001,Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"Sanjay Agrawal, Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,VAL -
1948,0,Secure Bufering in Firm Real-Time Database Systems,"Jayant R. Haritsa, Binto George",VLDB Journal,2000,Report on First International Workshop on Real-Time Database Systems,"Azer Bestavros, Kwei-Jay Lin, Sang Son",ACM SIGMOD Record,1996
1949,0,Metrics for Accessing Heterogeneous Data: Is There Any Hope?,"Michael Stonebraker, Nicholas J. Belkin, Gio Wiederhold, Erich J. Neuhold, Leonard J. Seligman",VLDB,1995,SQL Open Heterogeneous Data Access,"Berthold Reinwald, Hamid Pirahesh",SIGMOD Conference,1998
1950,0,Guest Editorial,Malcolm P. Atkinson,VLDB Journal,2000,Guest Editorial,"Paolo Atzeni, Alberto O. Mendelzon",VLDB Journal,2000
1951,0,Building Knowledge Base Management Systems,"Thodoros Topaloglou, Adel Shrufi, Vinay K. Chaudhri, Dimitris Plexousakis, John Mylopoulos",VLDB Journal,1996,Amalgamating Knowledge Bases,V. S. Subrahmanian,TODS,1994
1952,1,Main-Memory Index Structures with Fixed-Size Partial Keys,"Philip Bohannon, Rajeev Rastogi, Peter McIlroy",SIGMOD Conference,2001,Main-Memory Index Structures with Fixed-Size Partial Keys,VAL -,International Conference on Management of Data,VAL -
1953,0,Tutorial: Application Servers and Associated Technologies,C. Mohan,SIGMOD Conference,2002,"Workflow Automation: Applications, Technology and Research",Amit Sheth,International Conference on Management of Data,1995
1954,0,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",VLDB Journal,1997,Design and Analysis of Parametric Query Optimization Algorithms,Sumit Ganguly,VLDB,1998
1955,1,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",VLDB,1996,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian",VLDB,1996
1956,0,Aggregate-Query Processing in Data Warehousing Environments,"Venky Harinarayan, Dallan Quass, Ashish Gupta",VLDB,1995,Tracing the Lineage of View Data in a Warehousing Environment,"Yingwei Cui, Jennifer Widom, Janet L. Wiener",TODS,2000
1957,0,Fault-Tolerant Architectures for Continuous Media Servers,"Abraham Silberschatz, Rajeev Rastogi, Banu Özden, Prashant J. Shenoy",SIGMOD Conference,1996,Proxy-Server Architectures for OLAP,"Panos Kalnis, Dimitris Papadias",International Conference on Management of Data,2001
1958,0,Anatomy of a Native XML Base Management System,"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",VLDB Journal,2002,Database Management Systems and the Internet,Susan Malaika,VLDB,1996
1959,0,Fine-grained Sharing in a Page Server OODBMS,"Michael J. Carey, Markos Zaharioudakis, Michael J. Franklin",SIGMOD Conference,1994,"Adaptive, Fine-grained Sharing in a Client-Server OODBMS: A Callback-based Approach","Markos Zaharioudakis, Michael J. Carey, Michael J. Franklin",TODS,1997
1960,0,Relational Data Sharing in Peer-Based Data Management Systems,"Beng Chin Ooi, Yanfeng Shu, Kian-Lee Tan",ACM SIGMOD Record,2003,DWMS : Data Warehouse Management System Narendra Mohan Very Large Data Bases 1996,VAL -,VLDB,VAL -
1961,0,Report on the 18th British National Conference on Databases (BNCOD),"Carole A. Goble, Brian J. Read",ACM SIGMOD Record,2002,Report on the Second IEEE Metadata Conference (Metadata '97),"Ron Musick, Chris Miller",ACM SIGMOD Record,VAL -
1962,0,Editor's Notes SIGMOD Record,Michael J. Franklin,ACM SIGMOD Record,1998,Editorial,VAL -,TODS,2001
1963,0,Approximate Query Processing Using Wavelets,"Kyuseok Shim, Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi",VLDB,2000,Approximate Query Processing: Taming the Terabytes,"Minos N. Garofalakis, Phillip B. Gibbon",VLDB,2001
1964,0,Secure Bufering in Firm Real-Time Database Systems,"Jayant R. Haritsa, Binto George",VLDB Journal,2000,Managing Intra-Operator Parallelism in Parallel Database Systems,"Manish Mehta, David J. Dewitt",VLDB,1995
1965,0,Phoenix: Making Applications Robust,"David B. Lomet, Roger S. Barga",SIGMOD Conference,1999,Phoenix Project: Fault-Tolerant Applications,"Roger Barga, David Lomet",ACM SIGMOD Record,2002
1966,1,The Zero Latency Enterprise,Dave Liles,VLDB,2000,The Zero Latency Enterprise,Dave Liles,VLDB,2000
1967,1,Merging Ranks from Heterogeneous Internet Sources,"Hector Garcia-Molina, Luis Gravano",VLDB,1997,Merging Ranks from Heterogeneous Internet Sources,"Luis Gravano, Hector Garcia-Molina",VLDB,1997
1968,0,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. Dewitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,Unisql's Next-Generation Object-Relational Database Management System,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record,1996
1969,0,Efficient Approximation of Optimization Queries under Parametric Aggregation Constraints,"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha",VLDB,2003,Optimization of Constrained Frequent Set Queries with 2-Variable Constraints,"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",SIGMOD Conference,1999
1970,0,Rainbow: Distributed Database System for Classroom Education and Experimental Research,"Abdelsalam Helal, Hua Li",VLDB Journal,2000,An Experimental Object-Based Sharing System for Networked Databases,"Doug Fang, Shahram Ghandeharizadeh, Dennis McLeod",VLDB Journal,1996
1971,0,Secure Bufering in Firm Real-Time Database Systems,"Jayant R. Haritsa, Binto George",VLDB Journal,2000,A Database System for Real-Time Event Aggregation in Telecommunication,"Jerry Baulier, Stephen Blott, Henry F. Korth, Abraham Silberschatz",VLDB,1998
1972,0,Mindreader: Querying Databases through Multiple Examples,"Ravishankar Subramanya, Christos Faloutsos, Yoshiharu Ishikawa",VLDB,1998,Querying Multiple Features of Groups in Relational Databases,VAL -,VLDB,1996
