id,label,left_Beer_Name,right_Beer_Name,left_Brew_Factory_Name,right_Brew_Factory_Name,left_Style,right_Style,left_ABV,right_ABV,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
63,0,Arthur 's Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Otto 's Pub and Brewery,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,6.90 %,9.30 %,Arthur's Imperial Red Ale,Otto's Pub and Brewery,Red Ale,Imperial,6.9,true,true,false,true,none,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,Red Ale,Imperial,9.3,false,true,false,true,none
64,0,Red Rocket Amber Ale,Blue Cat Red Toad Amber Ale,Third Base Sports Bar & Brewery,Blue Cat Brew Pub,American Amber / Red Ale,Premium Bitter/ESB,6.40 %,5.70 %,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Red Ale,Amber,6.4,true,true,false,false,none,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Amber Ale,ESB,5.7,true,true,false,false,none
65,0,Eruption Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,Worthy Brewing Co. .,Custom Brewcrafters,American Amber / Red Ale,American Strong Ale,8.00 %,9.20 %,Eruption Imperial Red Ale,Worthy Brewing Co.,Red Ale,Imperial,8.0,true,true,false,true,none,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Red Ale,Imperial Strong Ale,9.2,false,true,false,true,none
66,0,Barrel Aged Red Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,BearWaters Brewing Co. .,Ballast Point Brewing Company,American Amber / Red Ale,Amber Ale,6.70 %,5 %,Barrel Aged Red Ale,BearWaters Brewing Co.,Red Ale,Amber Barrel-Aged,6.7,true,true,false,false,barrel-aged,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,Barrel-Aged,5.0,true,true,false,false,rum
67,0,Ballistic Brewing Co. - Gorgon Red Ale,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Indian Wells Brewing Company,Red Horn Coffee House and Brewing Company,American Amber / Red Ale,Amber Ale,5.50 %,5.50 %,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,Red Ale,Amber,5.5,true,true,false,false,none,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Red Horn Coffee House and Brewing Company,Ale,Amber,5.5,true,true,false,false,none
68,0,The `` Ginger '' A Red Ale,The Beer Company Wyatt Earp Red Ale,Elk Street Brewery & Tap Room,The Beer Company,American Amber / Red Ale,Irish Ale,6.80 %,7 %,The Ginger A Red Ale,Elk Street Brewery & Tap Room,Red Ale,Amber,6.8,true,true,false,false,ginger,Wyatt Earp Red Ale,The Beer Company,Red Ale,Irish,7.0,false,true,false,false,none
69,0,North 45 Amber Ale,Thirsty Pagan North Coast Amber Ale,Petoskey Brewing Company,Thirsty Pagan Brewing,American Amber / Red Ale,Amber Ale,5.80 %,-,North 45 Amber Ale,Petoskey Brewing Company,Red Ale,Amber,5.8,true,true,false,false,none,Thirsty Pagan North Coast Amber Ale,Thirsty Pagan Brewing,Amber Ale,none,,true,true,false,false,none
70,1,Red 's On Vacation,Barley Johns Reds on Vacation,Barley John 's Brew Pub,Barley Johns Brew Pub,American Amber / Red Ale,Amber Ale,5.44 %,5.44 %,Red 's On Vacation,Barley John 's Brew Pub,Red Ale,Amber,5.44,true,true,false,false,none,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,,5.44,true,true,false,false,none
71,1,Old Cellar Dweller,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery,Driftwood Brewery &#40; Canada &#41;,American Barleywine,Barley Wine,11.60 %,14 %,Old Cellar Dweller,Driftwood Brewery,Barleywine,American,11.6,false,true,false,false,none,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery (Canada),Barley Wine,none,14.0,false,false,true,false,none
72,0,Lavery Imperial Red Ale,Lagunitas Imperial Red Ale,Lavery Brewing Company,Lagunitas Brewing Company &#40; Heineken &#41;,American Amber / Red Ale,American Strong Ale,8.20 %,7.80 %,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,Imperial,8.2,true,true,false,true,none,Lagunitas Imperial Red Ale,Lagunitas Brewing Company (Heineken),Ale,Red,7.8,false,true,false,true,none
73,0,Double Dread Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Mad River Brewing Company,Scuttlebutt Brewing Co. .,American Amber / Red Ale,American Strong Ale,8.60 %,7.10 %,Double Dread Imperial Red Ale,Mad River Brewing Company,Red Ale,Imperial,8.6,true,true,false,true,none,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co.,Red Ale,Imperial Strong,7.1,false,true,false,true,none
74,0,Roundabout Imperial Red Ale,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,Bonfire Brewing Co. .,AleSmith Brewing Company,American Amber / Red Ale,American Strong Ale,8.80 %,8.50 %,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,Imperial,8.8,false,true,false,true,none,AleSmith YuleSmith (Winter) Imperial Red Ale,AleSmith Brewing Company,Red Ale,Imperial,8.5,false,true,false,true,
75,0,Port Chester Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,Pizza Port &#40; Ocean Beach &#41;,American Amber / Red Ale,American Strong Ale,5.50 %,9.50 %,Port Chester Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,Red Ale,American Amber,5.5,true,true,false,false,none,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port ( Ocean Beach ),Red Ale,Imperial,9.5,false,true,false,true,none
76,0,Red Hopper ( Imperial Red Ale ),Proof Abandoned Planet Imperial Red Ale,Black Acre Brewing Co. .,Proof Brewing Company,American Amber / Red Ale,Amber Ale,6.20 %,7.50 %,Red Hopper,Black Acre Brewing Co.,Red Ale,Amber,6.2,true,true,false,true,none,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Red Ale,Imperial,7.5,true,true,false,true,none
77,1,Sons Of Anarchy Amber Ale,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Sudwerk Brewing Company,American Amber / Red Ale,Amber Ale,4.70 %,4.70 %,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,Red Ale,4.7,true,true,false,false,none,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,none,4.7,true,true,false,false,none
78,1,Eldred Rock Amber,Haines Eldred Rock Amber,Haines Brewing Company,Haines Brewing Co. .,American Amber / Red Ale,Amber Ale,5.00 %,5 %,Eldred Rock Amber,Haines Brewing Company,Red Ale,Amber,5.0,True,True,False,False,,Haines Eldred Rock Amber,Haines Brewing Co.,Amber Ale,,5.0,true,true,false,false,none
79,0,Double Dread Imperial Red Ale,406 Imperial Red Ale,Mad River Brewing Company,406 Brewing Company,American Amber / Red Ale,American Strong Ale,8.60 %,9.20 %,Double Dread Imperial Red Ale,Mad River Brewing Company,Red Ale,Imperial,8.6,true,true,false,true,none,406 Imperial Red Ale,406 Brewing Company,Red Ale,Imperial Strong,9.2,false,true,false,true,
80,0,Blood On The Blade Red IPA,Bacchus / Burrow Bloodhound Blood Red IPA,Backpocket Brewing,Bacchus Brewing Company &#40; Australia &#41;,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,7.00 %,6 %,Blood On The Blade Red IPA,Backpocket Brewing,Red Ale,IPA,7.0,false,true,false,false,none,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company (Australia),IPA,Red Blood,6.0,false,true,false,false,none
81,1,My Hoppy Valentine,Excel My Hoppy Valentine,Excel Brewing Company,Excel Brewing Company,American Amber / Red Ale,Amber Ale,6.50 %,6.50 %,My Hoppy Valentine,Excel Brewing Company,Red Ale,Amber,6.5,true,true,false,false,none,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,,6.5,True,True,False,False,
82,0,Hop Around Imperial Red Ale,Austin Beerworks Battle Axe Imperial Red Ale,Big Bay Brewing Co. .,Austin Beerworks,American Amber / Red Ale,American Strong Ale,9.00 %,8 %,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,Imperial,9.0,True,True,False,True,,Austin Beerworks Battle Axe Imperial Red Ale,Austin Beerworks,Red Ale,Imperial Strong,8.0,false,true,false,true,none
83,0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Tumbledown Imp Imperial Red Ale,Kern River Brewing Company,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.00 %,7.80 %,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,Red Ale,Imperial Amber,8.0,true,true,false,true,none,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Red Ale,Imperial Strong,7.8,false,true,false,true,
84,0,Photobomb Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,Crooked Ladder Brewing Company,ShuBrew,American Amber / Red Ale,American Strong Ale,8.50 %,6.80 %,Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,Red Ale,Imperial Amber,8.5,true,true,false,true,none,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,Red Ale,Imperial,6.8,false,true,false,true,
85,0,C N Red Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale,Redwood Lodge,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,8.10 %,10 %,C N Red Imperial Red Ale,Redwood Lodge,Red Ale,Imperial,8.1,false,true,false,true,none,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,Red Ale,Imperial,10.0,false,true,false,true,none
86,0,Deranger Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Laurelwood Public House & Brewery,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,8.60 %,8.50 %,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Red Ale,Imperial,8.6,true,true,false,true,none,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,Red Ale,Imperial,8.5,false,true,false,true,
87,0,All American Red Ale,Stadin American Red Ale,Centennial Beer Co. .,Stadin Panimo,American Amber / Red Ale,Amber Ale,5.00 %,4.50 %,All American Red Ale,Centennial Beer Co.,Red Ale,Amber,5.0,true,true,false,false,none,Stadin American Red Ale,Stadin Panimo,Amber Ale,American,4.5,true,true,false,false,none
88,0,Bulleit Bourbon Barrel Aged G'Knight,Lompoc Bourbon Barrel Aged Old Tavern Rat,Oskar Blues Grill & Brew,Lompoc Brewing,American Amber / Red Ale,Barley Wine,8.70 %,9.70 %,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,Amber Ale,Barrel-Aged,8.7,true,true,false,false,bulleit bourbon,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,Barrel-Aged,9.7,false,true,false,false,bourbon
89,0,Big V Amber Ale,Big Texan Texas Red Amber Ale,FreeWheel Brewing Company,Big Texan Brewery,American Amber / Red Ale,Amber Ale,4.00 %,4.50 %,Big V Amber Ale,FreeWheel Brewing Company,Red Ale,Amber,4.0,true,true,false,false,none,Big Texan Texas Red Amber Ale,Big Texan Brewery,Amber Ale,Red,4.5,true,true,false,false,none
90,0,Double Dread Imperial Red Ale,Lagunitas Imperial Red Ale,Mad River Brewing Company,Lagunitas Brewing Company &#40; Heineken &#41;,American Amber / Red Ale,American Strong Ale,8.60 %,7.80 %,Double Dread Imperial Red Ale,Mad River Brewing Company,Red Ale,Imperial,8.6,true,true,false,true,none,Lagunitas Imperial Red Ale,Lagunitas Brewing Company (Heineken),Strong Ale,Imperial,7.8,false,true,false,true,none
91,0,5 Star Amber Ale,Blue Star Apache Amber Ale,The Civil Life Brewing Company,Blue Star Brewing Co. .,American Amber / Red Ale,Amber Ale,5.00 %,-,5 Star Amber Ale,The Civil Life Brewing Company,Red Ale,Amber,5.0,true,true,false,false,none,Blue Star Apache Amber Ale,Blue Star Brewing Co.,Amber Ale,,,true,true,false,false,none
92,0,Lavery Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,Lavery Brewing Company,ShuBrew,American Amber / Red Ale,American Strong Ale,8.20 %,6.80 %,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,Imperial,8.2,true,true,false,true,none,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,Red Ale,Imperial,6.8,false,true,false,true,
93,0,Barrel Aged Imperial Red,Imperial Oak Barrel Aged Odin_s Beard,Hale 's Ales Brewery & Pub,Imperial Oak Brewing,American Amber / Red Ale,American Strong Ale,9.00 %,9 %,Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,Red Ale,Imperial Barrel-Aged,9.0,true,true,false,true,barrel-aged,Imperial Oak Barrel Aged Odin_s Beard,Imperial Oak Brewing,Ale,Strong,9.0,false,true,false,true,oak barrel aged
94,0,3 Sisters American Red Ale,Black Shirt American India Red Ale,Wild Ride Brewing Co. .,Black Shirt Brewing Company,American Amber / Red Ale,American Strong Ale,6.00 %,7.09 %,3 Sisters American Red Ale,Wild Ride Brewing Co.,Red Ale,American Amber,6.0,true,true,false,false,none,Black Shirt American India Red Ale,Black Shirt Brewing Company,Red Ale,India,7.09,false,true,false,false,
95,0,Red Dragon Smoked Amber Ale,Kilted Dragon Bonnie Heather Amber Ale,Hoppy Brewing Co. .,Kilted Dragon Brewing Company,American Amber / Red Ale,Amber Ale,5.50 %,5 %,Red Dragon Smoked Amber Ale,Hoppy Brewing Co.,Amber Ale,Smoked Red,5.5,true,true,false,false,smoked,Kilted Dragon Bonnie Heather Amber Ale,Kilted Dragon Brewing Company,Amber Ale,,5.0,true,true,false,false,
96,0,Mountian Goat Rare Breed India Red Ale,Hammond River Red Coat India Red Ale,Mountain Goat Beer Pty Ltd,Hammond River Brewing,American Amber / Red Ale,Amber Ale,6.60 %,6.50 %,Mountian Goat Rare Breed India Red Ale,Mountain Goat Beer Pty Ltd,Red Ale,American Amber,6.6,true,true,false,false,none,Hammond River Red Coat India Red Ale,Hammond River Brewing,Red Ale,Amber IPA (India),6.5,true,true,false,false,none
97,0,Lavery Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,Lavery Brewing Company,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,8.20 %,9.50 %,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,Imperial,8.2,true,true,false,true,none,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,Red Ale,Imperial Strong,9.5,false,true,false,true,none
98,0,Three Beavers Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Howe Sound Inn & Brewing Company,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,7.50 %,8.50 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,Red Ale,Imperial,7.5,true,true,false,true,none,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,Red Ale,Imperial,8.5,false,true,false,true,none
99,0,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Peter Bs Sum Of Hours Imperial Red Ale,Sierra Nevada Brewing Co. .,Peter Bs Brewpub,American Amber / Red Ale,American Strong Ale,8.00 %,9.50 %,Red-oric - Beer Camp #65,Sierra Nevada Brewing Co.,Red Ale,Imperial Amber,8.0,true,true,false,true,none,Peter B's Sum of Hours Imperial Red Ale,Peter B's Brewpub,Red Ale,Imperial Strong,9.5,false,true,false,true,
100,1,Belle Gueule Rousse,Belle Gueule Rousse,Brasseurs R.J.,Brasseurs RJ,American Amber / Red Ale,Amber Lager/Vienna,5.20 %,5.20 %,Belle Gueule Rousse,Brasseurs R.J.,Red Ale,Amber,5.2,true,true,false,false,none,Belle Gueule Rousse,Brasseurs RJ,Lager,Vienna,5.2,false,false,true,false,none
101,0,Red Rock Amber Ale,Slanted Rock Iron Butt Red Ale,OPA-OPA Steakhouse & Brewery,Slanted Rock Brewing Company,American Amber / Red Ale,Amber Ale,6.00 %,5.80 %,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,Red Ale,Amber,6.0,true,true,false,false,none,Slanted Rock Iron Butt Red Ale,Slanted Rock Brewing Company,Red Ale,Amber,5.8,true,true,false,false,none
102,1,Ise Kadoya Amber Ale,Ise Kadoya Amarillo Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Ise Kadoya,American Amber / Red Ale,Amber Ale,4.50 %,-,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Red Ale,Amber,4.5,true,true,false,false,none,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,Amarillo,,true,true,false,false,amarillo
103,0,Hop Around Imperial Red Ale,Speakeasy Wet Hop Prohibition Red Ale,Big Bay Brewing Co. .,Speakeasy Ales and Lagers,American Amber / Red Ale,Amber Ale,9.00 %,6.10 %,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,Imperial Amber,9.0,true,true,false,true,none,Speakeasy Wet Hop Prohibition Red Ale,Speakeasy Ales and Lagers,Red Ale,Amber,6.1,true,true,false,false,wet hops
104,0,Deranger Imperial Red Ale,406 Imperial Red Ale,Laurelwood Public House & Brewery,406 Brewing Company,American Amber / Red Ale,American Strong Ale,8.60 %,9.20 %,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Red Ale,Imperial,8.6,true,true,false,true,none,406 Imperial Red Ale,406 Brewing Company,Red Ale,Imperial,9.2,false,true,false,true,
105,0,C N Red Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Redwood Lodge,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.10 %,7.80 %,C N Red Imperial Red Ale,Redwood Lodge,Red Ale,Imperial,8.1,false,true,false,true,none,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Red Ale,Imperial Strong,7.8,false,true,false,true,none
106,0,All American Red Ale,Saimaan Brewer_s Special American Red Ale,Centennial Beer Co. .,Saimaan Juomatehdas,American Amber / Red Ale,Amber Ale,5.00 %,4.70 %,All American Red Ale,Centennial Beer Co.,Red Ale,Amber,5.0,true,true,false,false,none,Saimaan Brewer's Special American Red Ale,Saimaan Juomatehdas,Red Ale,American Amber,4.7,true,true,false,false,none
107,0,Molly American Red Ale,Big Time Lift Ticket American Red Ale,New Helvetia Brewing Company,Big Time Brewery,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,5.00 %,7 %,Molly American Red Ale,New Helvetia Brewing Company,Red Ale,Amber,5.0,true,true,false,false,none,Big Time Lift Ticket American Red Ale,Big Time Brewery,IPA,,7.0,False,True,False,False,none
108,1,Barbarian Red Ale,Barbarian Red Ale,CervecerÃa Barbarian,CervecerÃa Barbarian,American Amber / Red Ale,Amber Ale,6.50 %,6.50 %,Barbarian Red Ale,Cervecería Barbarian,Red Ale,Amber,6.5,true,true,false,false,none,Barbarian Red Ale,Cerveceria Barbarian,Red Ale,Amber,6.5,true,true,false,false,none
109,0,Hop Around Imperial Red Ale,Ale Mania Imperial Red Ale,Big Bay Brewing Co. .,Ale Mania &#40; Fritz Ale &#41;,American Amber / Red Ale,American Strong Ale,9.00 %,9.50 %,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,Amber,9.0,true,true,false,true,none,Ale Mania Imperial Red Ale,Ale Mania (Fritz Ale),Red Ale,Imperial Strong Ale,9.5,false,true,false,true,none
110,0,Barrel Aged Series : Barley Wine,Elevator Barrel Aged Barley Wine,Parallel 49 Brewing Company,Elevator Brewing Company,American Barleywine,Barley Wine,11.80 %,-,Barrel Aged Series : Barley Wine,Parallel 49 Brewing Company,Barleywine,Barrel-Aged,11.8,false,true,false,false,none,Elevator Barrel Aged Barley Wine,Elevator Brewing Company,Barley Wine,Barrel-Aged,,false,true,false,false,"barley, wine"
111,0,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,West Sixth Brewing Company,Figueroa Mountain Brewing,American Amber / Red Ale,American Strong Ale,13.00 %,8 %,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,Red Ale,American Imperial,13.0,false,true,false,true,none,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Figueroa Mountain Brewing,Red Ale,Imperial,8.0,false,true,false,true,none
112,0,Roundabout Imperial Red Ale,Marble Imperial Red Ale,Bonfire Brewing Co. .,Marble Brewery,American Amber / Red Ale,American Strong Ale,8.80 %,9 %,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,Imperial Amber,8.8,true,true,false,true,none,Marble Imperial Red Ale,Marble Brewery,Ale,Imperial,9.0,false,true,false,true,none
113,0,Shark Attack Double Red Ale,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Port Brewing,Midnight Sun Brewing Company,American Amber / Red Ale,Amber Ale,9.00 %,7.50 %,Shark Attack Double Red Ale,Port Brewing,Red Ale,Double Amber,9.0,true,true,false,false,,Midnight Sun Unite Double Red Hot Ale (2015),Midnight Sun Brewing Company,Amber Ale,Double Red Hot,7.5,true,true,false,false,
114,0,Barrel Aged Riverside Red,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Intuition Ale Works,Blue Pants Brewery,American Amber / Red Ale,Amber Ale,7.80 %,9 %,Barrel Aged Riverside Red,Intuition Ale Works,Red Ale,Amber Barrel-Aged,7.8,true,true,false,false,barrel-aged,Blue Pants Big & Tall #2,Blue Pants Brewery,Amber Ale,Barrel-Aged Belgian Red,9.0,true,true,false,false,"barrel-aged, belgian"
115,1,Oatmeal Amber Ale,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,Amber Ale,5.70 %,6.50 %,Oatmeal Amber Ale,Ornery Beer Company Public House,Red Ale,Amber,5.7,true,true,false,false,oatmeal,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse (Corporate Office),Amber Ale,Oatmeal,6.5,true,true,false,false,oatmeal
116,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,Wolf Hills Brewing Company,Barley_s Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.60 %,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Amber Ale,Barrel-Aged,,True,True,False,False,bourbon,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,Red Ale,Imperial Barrel-Aged Strong,8.6,false,true,false,true,
117,0,Merry Prankster Imperial Red Ale,Marble Imperial Red Ale,Rock Bottom Restaurant & Brewery,Marble Brewery,American Amber / Red Ale,American Strong Ale,4.56 %,9 %,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,Imperial,4.56,true,true,false,true,,Marble Imperial Red Ale,Marble Brewery,Red Ale,Imperial,9.0,false,true,false,true,none
118,0,Mountain Series : Love Rhino ( Imperial Red Ale ),Two Brothers Revelry Imperial Red Ale,Breckenridge Brewery,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,8.90 %,9.50 %,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,Red Ale,Imperial,8.9,true,true,false,true,none,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,Red Ale,Imperial,9.5,false,true,false,true,none
119,0,Lagunitas Imperial Red Ale,Sick N Twisted Naughty Redhead Imperial Red Ale,Lagunitas Brewing Company,Sick N Twisted Brewing Company,American Amber / Red Ale,Amber Ale,7.80 %,8 %,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,Red Ale,Amber,7.8,true,true,false,true,none,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Red Ale,Imperial Amber,8.0,true,true,false,true,
120,0,Imperial Moustache Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,Salty Nut Brewery,Custom Brewcrafters,American Amber / Red Ale,American Strong Ale,6.00 %,9.20 %,Imperial Moustache Red Ale,Salty Nut Brewery,Red Ale,Amber,6.0,true,true,false,true,none,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Red Ale,Imperial Strong,9.2,false,true,false,true,
121,0,Single Hop # 3 Amber Ale W / Citra,Hill Farmstead Amarillo Single Hop Pale Ale,Three Palms Brewing Co. .,Hill Farmstead Brewery,American Amber / Red Ale,American Pale Ale,6.80 %,5.20 %,Single Hop #3 Amber Ale W/Citra,Three Palms Brewing Co.,Amber Ale,American,6.8,true,true,false,false,citra,Hill Farmstead Amarillo Single Hop Pale Ale,Hill Farmstead Brewery,Pale Ale,Single Hop American,5.2,false,true,false,false,amarillo
122,1,Vital Infrared Imperial Red,Vital Infrared Imperial Red,Vital Brewing,Vital Brewing,American Amber / Red Ale,American Strong Ale,9.40 %,9.40 %,Vital Infrared Imperial Red,Vital Brewing,Red Ale,Imperial Amber,9.4,true,true,false,true,none,Vital Infrared Imperial Red,Vital Brewing,Strong Ale,Red,9.4,false,true,false,true,none
123,1,Rip Saw Red,Pints Rip Saw Red,Pints Brewing Co. .,Pints Brewing Company,American Amber / Red Ale,Amber Ale,6.50 %,5.90 %,Rip Saw Red,Pints Brewing Co.,Red Ale,Amber,6.5,true,true,false,false,none,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,none,5.9,true,true,false,false,none
124,0,Bourbon Barrel Ro Shampo Imperial Red Ale,Cape Cod Bourbon Barrel Red,Figure 8 Brewing,Cape Cod Beer,American Amber / Red Ale,Amber Ale,-,5.50 %,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,Red Ale,Imperial Amber,,true,true,false,true,bourbon,Cape Cod Bourbon Barrel Red,Cape Cod Beer,Amber Ale,Barrel-Aged,5.5,true,true,false,false,bourbon
125,0,Panama Limited Red Ale,Flossmoor Station Barrel Aged Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,Amber Ale,-,6.50 %,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Red Ale,Amber,,true,true,false,false,none,Flossmoor Station Barrel Aged Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Amber Ale,Barrel-Aged,6.5,true,true,false,false,barrel-aged
126,0,Tst Brw 01 - Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,Brouwerij De Koninck NV,Kern River Brewing,American Amber / Red Ale,American Strong Ale,7.80 %,8 %,Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,Red Ale,Amber,7.8,true,true,false,true,none,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,Red Ale,Imperial,8.0,false,true,false,true,none
127,0,Buffalo Soul Jah Imperial Red Ale,Iron Horse Fresh Hop Imperial Red Ale,Three Heads Brewing,Iron Horse Brewery,American Amber / Red Ale,American Strong Ale,9.20 %,-,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,Red Ale,Imperial,9.2,false,true,false,true,none,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,Red Ale,Imperial Fresh Hop,,False,True,False,True,fresh hop
