id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
2393,0,Privacy-preserving indexing of documents on the network,"Mayank Bawa, Rakesh Agrawal, Roberto J. Bayardo Jr.",VLDB,2003,Privacy-preserving data mining,"Rakesh Agrawal, Ramakrishnan Srikant",SIGMOD Conference,2000,VLDB,VAL -
2394,0,storage estimation for multidimensional aggregates in the presence of hierarchies,"Jeffrey F. Naughton, Amit Shukla, Karthikeyan Ramasamy, Prasad Deshpande",VLDB,1996,approximate computation of multidimensional aggregates of sparse data using wavelets,"Jeffrey Scott Vitter, Min Wang",SIGMOD Conference,1999,,
2395,0,The Ores Temporal Database Management System,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",SIGMOD Conference,1994,Tigukat: A Uniform Behavioral Objectbase Management System,"M. Tamer Özsu, Randal Peters, Duane Szafron, Boman Irani, Anna Lipka, Adriana Muñoz",VLDB Journal,VAL -,VAL -,VLDB Journal
2396,0,"mining quantitative association rules in large relational tables ramakrishnan srikant , rakesh agrawal sigmod conference","Rakesh Agrawal, Ramakrishnan Srikant",SIGMOD Conference,1996,an efficient algorithm for mining association rules in large databases very large data bases,"Ashoka Savasere, Edward Omiecinski, Shamkant B. Navathe",VLDB,1995,VAL -,VLDB
2397,0,Storing and querying ordered XML using a relational database system,"Kevin S. Beyer, Jayavel Shanmugasundaram, Chun Zhang, Igor Tatarinov, Stratis Viglas, Eugene J. Shekita",SIGMOD Conference,2002,"OLAP, Relational, and Multidimensional Database Systems",George Colliat,ACM SIGMOD Record,1996,,
2398,0,homer : a model-based case tool for data-intensive web sites sigmod conference,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca",SIGMOD Conference,2000,"design principles for data-intensive web sites stefano ceri , piero fraternali , stefano paraboschi",VAL -,ACM SIGMOD Record,1999,,
2399,0,unisql/x unified relational and object-oriented database system won kim sigmod conference,VAL -,SIGMOD Conference,1994,"implementation of magic-sets in a relational database system inderpal singh mumick , hamid pirahesh international conference on management of data","INDERPAL SINGH MUMICK, HAMID PIRAHESH",SIGMOD Conference,1994,VAL -,VAL -
2400,0,The ECRC Multi Database System SIGMOD Conference,"Heribert Schütz, Willem Jonker",SIGMOD Conference,1995,"The Multidimensional Database System Rasdaman P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann International Conference on Management of Data",VAL -,SIGMOD Conference,1998,VAL -,VAL -
2401,0,editorial VLDB J.,"Peter M. G. Apers , Stefano Ceri , Richard T. Snodgrass",VAL -,2002,Guest Editorial,"Fabio Casati , Ming-Chien Shan , Dimitrios Georgakopoulos",VLDB Journal,2001,VLDB Journal,VLDB Journal
2402,0,pc database systems - present and future philip a. bernstein,VAL -,VLDB,1994,mpeg-7 and multimedia database systems harald kosch acm sigmod record 2002,VAL -,ACM SIGMOD Record,VAL -,VLDB,VAL -
2403,1,"storage service providers : a solution for storage management ? ( panel ) elizabeth a. m. shriver , bruce hillyer , wee teck ng , banu özden , eran gabber , david j. dewitt , john wilkes , jim gray , bruce gordon vldb 2001",VAL -,VAL -,VAL -,storage service providers : a solution for storage management ? ( panel ),"banu Özden , eran gabber , bruce hillyer , wee teck ng , elizabeth a. m. shriver , david j. dewitt , bruce gordon , jim gray , john wilkes",Very Large Data Bases,2001,,
2404,0,the network is the database : data management for highly distributed systems sigmod conference,"michael j. wynblatt , julio c. navas",SIGMOD Conference,2001,"a goal-driven auto-configuration tool for the distributed workflow management system mentorlite michael gillmann , jeanine weissenfels , german shegalov , wolfgang wonner , gerhard weikum",VAL -,SIGMOD Conference,2000,VAL -,VAL -
2405,0,Fault Tolerant Design of Multimedia Servers,"Richard R. Muntz, Leana Golubchik, Steven Berson",SIGMOD Conference,VAL -,Fault-Tolerant Architectures for Continuous Media Servers International Conference on Management of Data,"Banu Özden, Rajeev Rastogi, Prashant Shenoy, Avi Silberschatz",VAL -,1996,,
2406,1,tutorial : ldap directory services - just another database application ? sigmod conference,"anand deshpande , shridhar shukla",VAL -,VAL -,ldap directory services - just another database application ? ( tutorial session ),"shridhar shukla , anand deshpande",SIGMOD Conference,2000,VAL -,VAL -
2407,0,guest editorial,"Kyu-young Whang, Gunter Schlageter, Amr El Abbadi",VLDB Journal,VAL -,Guest Editorial Malcolm P. Atkinson The VLDB Journal -- The International Journal on Very Large Data Bases,VAL -,VAL -,2000,,
2408,0,communication efficient distributed mining of association rules,"Ran Wolff, Assaf Schuster",SIGMOD Conference,2001,"Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules Takeshi Fukuda , Yasuhiko Morimoto , Shinichi Morishita , Takeshi Tokuyama Very Large Data Bases 1996",VAL -,VAL -,VAL -,VAL -,VLDB
2409,0,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","zhao-hui tang, fei sha, georges gardarin",VLDB,1996,"description logics for semantic query optimization in object-oriented database systems domenico beneventano , sonia bergamaschi , claudio sartori acm transactions on database systems ( tods )",VAL -,VAL -,VAL -,VAL -,VAL -
2410,0,reminiscences on influential papers sigmod record,"Daniel J. Rosenkrantz, Nick Koudas, Dan Sució, Peter Scheuermann, Rajeev Rastogi, Jiawei Han, Kenneth A. Ross",VAL -,2001,reminiscences on influential papers acm sigmod record,Kenneth A. Ross,ACM SIGMOD Record,2000,VAL -,VAL -
2411,1,simultaneous optimization and evaluation of multiple dimensional queries,"Amit Shukla, Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande",SIGMOD Conference,1998,simultaneous optimization and evaluation of multiple dimensional queries,"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton, Amit Shukla",International Conference on Management of Data,1998,VAL -,VAL -
2412,0,ptool : a scalable persistent object manager,"Xiao Qin, Robert L. Grossman",SIGMOD Conference,1994,orthogonally persistent object systems,"Malcolm Atkinson, Ronald Morrison",VLDB Journal,1995,VAL -,VLDB Journal
2413,0,index concurrency control in firm real-time database systems,"Brajesh Goyal, S. Seshadri, V. Srinivasan, Jayant R. Haritsa",VAL -,VAL -,real-time index concurrency control,"Jayant R. Haritsa, S. Seshadri",ACM SIGMOD Record,1996,VAL -,VAL -
2414,0,The Database Group at University of Hagen ( Fernuniversitaet ),"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",ACM SIGMOD Record,1995,The Database Group at National Technical University of Athens ( NTUA ) Corporate National Technical Univ. of Athens,VAL -,ACM SIGMOD Record,1995,,
2415,0,an efficient method for checking object-oriented database schema correctness,"Michele Missikoff, Anna Formica, Hans Dietmar Gröger",ACM Trans. Database Syst.,1998,"A Logical Foundation for Deductive Object-Oriented Databases Mengchi Liu, Gillian Dobbie, Tok Wang Ling ACM Transactions on Database Systems (TODS)",VAL -,VAL -,2002,,
2416,0,the grid : an application of the semantic web,"carole a. goble , david de roure",SIGMOD Record,VAL -,"composing web services on the semantic web brahim medjahed , athman bouguettaya , ahmed k. elmagarmid the vldb journal -- the international journal on very large data bases",VAL -,VLDB Journal,2003,,
2417,0,Optimizing View Queries in Rolex to Support Navigable Result Trees,"Pradeep Shenoy, Philip Bohannon, P. P. S. Narayan, Henry F. Korth, Sumit Ganguly",VLDB,VAL -,Optimizing Queries on Files,"Mariano P. Consens, Tova Milo",SIGMOD Conference,1994,,
2418,0,"semantic interoperability in global information systems : a brief introduction to the research area and the special section amit p. sheth , aris m. ouksel sigmod record",VAL -,VAL -,VAL -,using semantic values to facilitate interoperability among heterogeneous information systems,"edward sciore , michael siegel , arnon rosenthal",ACM Transactions on Database Systems (TODS),1994,,
2419,1,conceptual schema analysis : techniques and applications acm trans . database syst .,"Valeria De Antonellis, Barbara Pernici, Maria Grazia Fugini, Silvana Castano",VAL -,1998,"conceptual schema analysis : techniques and applications S. Castano, V. De Antonellis, M. G. Fugini, B. Pernici",VAL -,ACM Transactions on Database Systems (TODS),1998,,
2420,0,Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2001,Materialized View Selection and Maintenance Using Multi-Query Optimization,"Hoshi Mistry, Prasan Roy, S. Sudarshan, Krithi Ramamritham",International Conference on Management of Data,VAL -,,
2421,0,"mining multi-dimensional constrained gradients in data cubes jiawei han , ke wang , joyce m. w. lam , guozhu dong , jian pei",VAL -,VLDB,VAL -,"a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan","marc gyssens, laks v. s. lakshmanan",Very Large Data Bases,1997,,
2422,0,parallel evaluation of multi-join queries,"Jan Flokstra , Annita N. Wilschut , Peter M. G. Apers",SIGMOD Conference,VAL -,progressive evaluation of nested aggregate queries,"Kian-Lee Tan , Cheng Hian Goh , Beng Chin Ooi",VLDB Journal,2000,VAL -,VLDB
2423,0,"A Foundation for Multi-Dimensional Databases Laks V. S. Lakshmanan , Marc Gyssens","Laks V. S. Lakshmanan, Marc Gyssens",VLDB,1997,Materialized View Selection for Multidimensional Datasets Very Large Data Bases,"Amit Shukla , Prasad Deshpande , Jeffrey F. Naughton",VAL -,1998,,
2424,0,Managing a DB2 Parallel Edition Database,Gilles Fecteau,VLDB Journal,1995,Managing Uncertainty in Sensor Database,"Reynold Cheng, Sunil Prabhakar",ACM SIGMOD Record,2003,VLDB Journal,VAL -
2425,0,modelling and querying video data,"Rune Hjelsvold , Roger Midtstraum",VLDB,1994,storage and querying of e-commerce data very large data bases,"Rakesh Agrawal , Amit Somani , Yirong Xu",VLDB,2001,VAL -,VAL -
2426,0,PeerDB: Peering into Personal Databases SIGMOD Conference,"Chu Yee Liau, Aoying Zhou, Wee Siong Ng, Ming Zhang, Bo Ling, Chin Hong Goh, Yanfeng Shu, Kian-Lee Tan, Yingguang Li, Xiaoyu Wang, Beng Chin Ooi",VAL -,2003,Petabyte Databases International Conference on Management of Data,Dirk D. Üllmann,SIGMOD Conference,1999,,
2427,0,lineage tracing for general data warehouse transformations,"Jennifer Widom , Yingwei Cui",VLDB Journal,2003,A Data Transformation System for Biological Data Sources,"Peter Buneman , Susan B. Davidson , Kyle Hart , G. Christian Overton , Limsoon Wong",Very Large Data Bases,1995,VLDB Journal,VLDB
2428,1,relating distributed objects,"r. g. g. cattell , bruce e. martin",VAL -,1994,relating distributed objects,VAL -,VLDB,VAL -,VLDB,VLDB
2429,0,pc database systems - present and future philip a. bernstein,VAL -,VLDB,1994,parallel database systems in the 1990 's michael j. carey 1994,VAL -,SIGMOD Conference,VAL -,VLDB,VAL -
2430,0,low-cost compensation-based query processing,"Øystein Torbjørnsen, Øystein Grøvlen, Svein-Olaf Hvasshovd",VAL -,1998,Toward Learning Based Web Query Processing,"Yanlei Diao, Hongjun Lu, Songting Chen, Zengping Tian",VLDB,2000,VLDB,VLDB
2431,1,an alternative storage organization for rolap aggregate views based on cubetrees,"yannis kotidis, nick roussopoulos",SIGMOD Conference,VAL -,an alternative storage organization for rolap aggregate views based on cubetrees,"yannis kotidis, nick roussopoulos",International Conference on Management of Data,1998,,
2432,0,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",VAL -,1995,ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,"Bruce Berra, Kingsley Nwosu, Bhavani Thuraisingham",ACM SIGMOD Record,1995,VAL -,VAL -
2433,0,"coalescing in temporal databases michael d. soo , richard t. snodgrass , michael h. böhlen vldb",VAL -,VLDB,1996,"distance browsing in spatial databases g &#237; sli r. hjaltason , hanan samet acm transactions on database systems ( tods ) 1999",VAL -,TODS,VAL -,VLDB,VAL -
2434,0,"The Aditi Deductive Database System Kotagiri Ramamohanarao , David B. Kemp , Jayen Vaghani , Tim S. Leask , James Harland , Peter J. Stuckey , Zoltan Somogyi","Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",VLDB Journal,1994,"METU Interoperable Database System Asuman Dogac , Ugur Halici , Ebru Kilic , Gokhan Ozhan , Fatma Ozcan , Sena Nural , Cevdet Dengi , Sema Mancuhan , Budak Arpinar , Pinar Koksal , Cem Evrendilek","Asuman Dogac, Ugur Halici, Ebru Kilic, Gokhan Ozhan, Fatma Ozcan, Sena Nural, Cevdet Dengi, Sema Mancuhan, Budak Arpinar, Pinar Koksal, Cem Evrendilek",SIGMOD Conference,1996,,
2435,0,"query caching and optimization in distributed mediator systems Sibel Adali , Yannis Papakonstantinou , K. Selçuk Candan , V. S. Subrahmanian","Sibel Adali, Yannis Papakonstantinou, K. Selçuk Candan, V. S. Subrahmanian",SIGMOD Conference,VAL -,query optimization in compressed database systems,"Zhiyuan Chen , Johannes Gehrke , Flip Korn",International Conference on Management of Data,2001,,
2436,1,query optimization at the crossroads ( panel ) surajit chaudhuri,VAL -,SIGMOD Conference,1997,query optimization at the crossroads surajit chaudhuri,VAL -,SIGMOD Conference,1997,VAL -,VAL -
2437,0,"including group-by in query optimization surajit chaudhuri , kyuseok shim vldb",VAL -,VAL -,1994,"parametric query optimization yannis e. ioannidis , raymond t. ng , kyuseok shim , timos k. sellis the vldb journal -- the international journal on very large data bases",VAL -,VLDB Journal,1997,,
2438,0,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",SIGMOD Conference,1995,"semantics for update rule programs and implementation in a relational database management system louiqa raschid , jorge lobo",VAL -,ACM Transactions on Database Systems ( TODS ),1996,VAL -,VAL -
2439,0,data management issues in electronic commerce ( panel ) sigmod conference,M. Tamer Özsu,SIGMOD Conference,VAL -,"Data Management in Ecommerce ( Tutorial Session ) : The Good , The Bad , and The Ugly International Conference on Management of Data",Avigdor Gal,SIGMOD Conference,2000,,
2440,0,using probabilistic information in data integration,"alon y. levy , daniela florescu , daphne koller",VAL -,VAL -,"data integration and warehousing in telecom italia stefano m. trisolini , maurizio lenzerini , daniele nardi",VAL -,SIGMOD Conference,1999,VAL -,VAL -
2441,0,Storage and Retrieval of XML Data Using Relational Databases,"Surajit Chaudhuri, Kyuseok Shim",VLDB,2001,Formal Query Languages for Secure Relational Databases,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",ACM Transactions on Database Systems (TODS),1994,VLDB,VAL -
2442,0,"Estimating the selectivity of spatial queries using the correlation fractal dimension Christos Faloutsos , Alberto Belussi","Christos Faloutsos, Alberto Belussi",VLDB,1995,Selectivity estimation for spatio-temporal queries to moving objects International Conference on Management of Data,"Yong-Jin Choi , Chin-Wan Chung",SIGMOD Conference,2002,VLDB,VAL -
2443,1,evolution and change in data management - issues and directions,"Kathleen Hornsby, Heidi Gregersen, Lex Wedemeijer, Tomi Männistö, John F. Roddick, Florida Estrella, Federica Mandreoli, Marlon Dumas, Lina Al-Jadir, Enric Mayol, Leopoldo E. Bertossi, Jens Lufter",SIGMOD Record,2000,evolution and change in data management - issues and directions,"John F. Roddick, Lina Al-Jadir, Leopoldo Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi Männistö, Enric Mayol, Lex Wedemeijer",ACM SIGMOD Record,2000,,
2444,0,the semantic web : semantics for data on the web,"Vipul Kashyap, Stefan Decker",VLDB,2003,on the semantics of now in databases ACM Transactions on Database Systems (TODS),"James Clifford, Curtis Dyreson, Tom á S Isakowitz, Christian S. Jensen, Richard Thomas Snodgrass",VAL -,1997,,
2445,1,red brick warehouse : a read-mostly rdbms for open smp platforms,Phillip M. Fernandez,SIGMOD Conference,1994,red brick warehouse : a read-mostly rdbms for open smp platforms International Conference on Management of Data,Phillip M. Fernandez,VAL -,1994,VAL -,VAL -
2446,0,s3 : similarity search in cad database systems,"Hans-Peter Kriegel, Stefan Berchtold",SIGMOD Conference,1997,similarity search in high dimensions via hashing,"Aristides Gionis, Piotr Indyk, Rajeev Motwani",Very Large Data Bases,VAL -,VAL -,VLDB
2447,0,declustering databases on heterogeneous disk systems,"Doron Rotem , Sridhar Seshadri , Ling Tony Chen",VLDB,1995,Semantic Integration in Heterogeneous Databases using Neural Networks 1994,"Wen-Syan Li , Chris Clifton",Very Large Data Bases,VAL -,,
2448,0,"OLAP , relational , and multidimensional database systems",VAL -,VAL -,VAL -,A system for watermarking relational databases,"Rakesh Agrawal , Peter J. Haas , Jerry Kiernan",SIGMOD Conference,2003,VAL -,VAL -
2449,0,Report on the 5th International Workshop on the Design and Management of Data Warehouses (DMDW '03),"Manfred A. Jeusfeld, Hans-Joachim Lenz, Panos Vassiliadis, Martin Staudt",ACM SIGMOD Record,2003,Report on the 5th International Workshop on Knowledge Representation Meets Databases (KRDB '98) 1998,"Alex Borgida, Vinay K. Chaudhri, Martin Staudt",ACM SIGMOD Record,VAL -,,
2450,0,efficient algorithms for mining outliers from large data sets,"kyuseok shim , sridhar ramaswamy , rajeev rastogi",SIGMOD Conference,2000,fast algorithms for mining association rules in large databases very large data bases,"rakesh agrawal , ramakrishnan srikant",VAL -,1994,,
2451,0,binding propagation in disjunctive databases,sergio greco,VAL -,VAL -,belief reasoning in mls deductive databases,hasan m. jamil,SIGMOD Conference,1999,VAL -,VAL -
2452,0,The Cougar Approach to In-Network Query Processing in Sensor Networks,"Johannes Gehrke, Yong Yao",VAL -,VAL -,Novel Approaches in Query Processing for Moving Object Trajectories,"Dieter Pfoser, Christian S. Jensen, Yannis Theodoridis",VLDB,2000,VAL -,VLDB
2453,0,approximate xml joins,"H. V. Jagadish , Ting Yu , Divesh Srivastava , Sudipto Guha , Nick Koudas",SIGMOD Conference,2002,approximate query processing using wavelets,"Kaushik Chakrabarti , Minos N. Garofalakis , Rajeev Rastogi , Kyuseok Shim",VLDB,2000,VAL -,VLDB
2454,0,The Algres Testbed of Chimera: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",SIGMOD Conference,1995,Schema and Database Evolution in the O2 Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari, Guy Ferran, Joëlle Madié",VLDB,1995,,
2455,0,"Query Optimization in Compressed Database Systems Zhiyuan Chen , Flip Korn , Johannes Gehrke SIGMOD Conference","Zhiyuan Chen, Flip Korn, Johannes Gehrke",SIGMOD Conference,2001,"Heterogeneous Database Query Optimization in DB2 Universal Datajoiner Shivakumar Venkataraman , Tian Zhang","Shivakumar Venkataraman, Tian Zhang",VLDB,1998,VAL -,VLDB
2456,0,Index nesting - an efficient approach to indexing in object-oriented databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB Journal,1996,A taxonomy for secure object-oriented databases,"Martin S. Olivier, Sebastiaan H. von Solms",ACM Transactions on Database Systems (TODS),1994,,
2457,1,integrating replacement policies in storm : an extensible approach sigmod conference,"Stéphane Bressan, Kian-Lee Tan, Beng Chin Ooi, Chong Leng Goh",SIGMOD Conference,2000,integrating replacement policies in storm : an extensible approach international conference on management of data 2000,"Chong Leng Goh, Beng Chin Ooi, Stéphane Bressan, Kian-Lee Tan",SIGMOD Conference,VAL -,,
2458,0,cost-based optimization of decision support queries using transient views SIGMOD Conference,"Shivakumar Venkataraman, Subbu N. Subramanian",VAL -,1998,Providing Better Support for a Class of Decision Support Queries International Conference on Management of Data,"Sudhir G. Rao, Antonio Badia, Dirk Van Gucht",SIGMOD Conference,VAL -,VAL -,VAL -
2459,1,"disjunctive datalog heikki mannila , thomas eiter , georg gottlob",VAL -,ACM Trans . Database Syst .,1997,"disjunctive datalog thomas eiter , georg gottlob , heikki mannila",VAL -,ACM Trans . on Database Syst . ( TODS ),1997,VAL -,VAL -
2460,1,silkroute : a framework for publishing relational data in xml acm trans . database syst .,"Dan Suciúu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",VAL -,2002,silkroute : a framework for publishing relational data in xml acm transactions on database systems ( TODS ),"Mary Fernández, Yana Kadiyska, Dan Suciúu, Atsuyuki Morishima, Wang-Chiew Tan",VAL -,2002,,
2461,0,unisql/x unified relational and object-oriented database system won kim sigmod conference,VAL -,SIGMOD Conference,1994,repositories and object oriented databases,philip a. bernstein,ACM SIGMOD Record,1998,VAL -,VAL -
2462,0,"guest editor 's introduction robert meersman , amit p. sheth sigmod record",VAL -,SIGMOD Record,VAL -,guest editorial matthias jarke the vldb journal -- the international journal on very large data bases,VAL -,VLDB Journal,1998,,
2463,1,odefs : a file system interface to an object-oriented database,"Narain H. Gehani, William D. Roome, H. V. Jagadish",VAL -,1994,odefs : a file system interface to an object-oriented database Very Large Data Bases,"Narain H. Gehani, H. V. Jagadish, William D. Roome",VAL -,VAL -,VAL -,VLDB
2464,0,Report on Second International Workshop on Advanced Issues of E-commerce and Web-based Information Systems SIGMOD Record,"Philip S. Yu, Kun-Lung Wu",VAL -,2000,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001) ACM SIGMOD Record 2002,Joachim Hammer,VAL -,VAL -,VAL -,VAL -
2465,0,extracting and exploiting structure in text search,Prabhakar Raghavan,SIGMOD Conference,2003,extracting structured data from web pages,"Arvind Arasu, Hector Garcia-Molina, Stanford University",International Conference on Management of Data,2003,,
2466,0,dynamic maintenance of data distribution for selectivity estimation,"Kyu-young Whang, Gio Wiederhold, Sang-wook Kim",VLDB Journal,1994,improved histograms for selectivity estimation of range predicates,"Viswanath Poosala, Peter J. Haas, Yannis E. Ioannidis, Eugene J. Shekita",SIGMOD Conference,1996,,
2467,0,reminiscences on influential papers sigmod record,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",VAL -,2002,influential papers ken ross 2001,VAL -,ACM SIGMOD Record,VAL -,VAL -,VAL -
2468,0,caching multidimensional queries using chunks,"karthikeyan ramasamy, prasad deshpande, amit shukla, jeffrey f. naughton",SIGMOD Conference,VAL -,dynamic multidimensional histograms international conference on management of data,"nitin thaper, sudipto guha, piotr indyk, nick koudas",International Conference on Management of Data,2002,,
2469,1,a study on data point search for hg-trees,"paul h. lewis, joseph kuan",SIGMOD Record,VAL -,a study on data point search for hg-trees ACM SIGMOD Record,VAL -,VAL -,1999,,
2470,0,distributed query evaluation on semistructured data dan suciu,VAL -,ACM Trans. Database Syst.,2002,semantic integration of semistructured and structured data sources,"s. bergamaschi, s. castano, m. vincini",ACM SIGMOD Record,1999,VAL -,VAL -
2471,0,watermarking relational databases,"rakesh agrawal , jerry kiernan",VLDB,2002,dbminer : interactive mining of multiple-level knowledge in relational databases 1996,"jaiwei han , youngjian fu , wei wang , jenny chiang , osmar r. zañane , krzysztof koperski",SIGMOD Conference,VAL -,VAL -,VAL -
2472,0,the design and implementation of a sequence database system,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1996,"The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation","Marcia A. Derr, Shinichi Morishita, Geoffrey Phipps",VLDB Journal,1994,,
2473,0,"join synopses for approximate query answering swarup acharya , viswanath poosala , phillip b. gibbons , sridhar ramaswamy sigmod conference","Swarup Acharya, Viswanath Poosala, Phillip B. Gibbons, Sridhar Ramaswamy",SIGMOD Conference,1999,"new sampling-based summary statistics for improving approximate query answers phillip b. gibbons , yossi matias 1998","Phillip B. Gibbons, Yossi Matias",International Conference on Management of Data,VAL -,,
2474,0,amicalola report : database and information system research challenges and opportunities in semantic web and enterprises sigmod record,"Robert Meersman, Amit P. Sheth",VAL -,VAL -,the ecobase project : database and web technologies for environmental information systems acm sigmod record,"Luc Bouganim, Maria Claudia Cavalcanti, Françoise Fabret, Maria Luiza Campos, François Llirbat, Marta Mattoso, Rubens Melo, Ana Maria Moura, Esther Pacitti, Fabio Porto, Margareth Simoes, Eric Simon, Asterio Tanaka, Patrick Valduriez",ACM SIGMOD Record,2001,VAL -,VAL -
2475,1,view maintenance in mobile computing,"Ouri Wolfson , Kailash Narayanan , Son Dao , Ramya Raj , A. Prasad Sistla",ACM SIGMOD Record,VAL -,"view maintenance in mobile computing Ouri Wolfson , Prasad Sistla , Son Dao , Kailash Narayanan , Ramya Raj ACM SIGMOD Record 1995",VAL -,ACM SIGMOD Record,1995,,
2476,0,query flocks : a generalization of association-rule mining,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",SIGMOD Conference,1998,mining generalized association rules very large data bases,"Ramakrishnan Srikant, Rakesh Agrawal",VAL -,1995,,
2477,0,"Report on the 18th British National Conference on Databases (BNCOD) Carole A. Goble, Brian J. Read SIGMOD Record",VAL -,SIGMOD Record,2002,Report on the 1995 International Workshop on Temporal Databases ACM SIGMOD Record 1995,"Arie Segev, Christian S. Jensen, Richard Thomas Snodgrass",SIGMOD Record,VAL -,VAL -,VAL -
2478,0,hyperstorm - administering structured documents using object-oriented database technology,"Karl Aberer, Klemens Böhm",SIGMOD Conference,1996,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"Tak W. Yan, Jurgen Annevelink",VAL -,1994,,
2479,0,spatial joins using seeded trees,"Chinya V. Ravishankar, Ming-Ling Lo",SIGMOD Conference,1994,"Spatial Join Selectivity Using Power Laws Christos Faloutsos , Bernhard Seeger , Agma Traina , Caetano Traina , Jr.",VAL -,International Conference on Management of Data,2000,VAL -,VAL -
2480,0,"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi",VAL -,VLDB,1995,"metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data",VAL -,SIGMOD Conference,1994,,
2481,0,"storing and querying ordered xml using a relational database system kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita sigmod conference","kevin s. beyer, jayavel shanmugasundaram, chun zhang, igor tatarinov, stratis viglas, eugene j. shekita",SIGMOD Conference,2002,"object-relational database systems ( tutorial ) : principles , products and challenges","michael j. carey, nelson m. mattos, anil k. nori",International Conference on Management of Data,1997,,
2482,1,2q : a low overhead high performance buffer management replacement algorithm,"Dennis Shasha, Theodore Johnson",VLDB Journal,1994,2q : a low overhead high performance buffer management replacement algorithm Very Large Data Bases,"Theodore Johnson, Dennis Shasha",VAL -,VAL -,VLDB Journal,VLDB
2483,0,The WASA2 Object-Oriented Workflow Management System SIGMOD Conference,"Mathias Weske, Gottfried Vossen",VAL -,VAL -,Open Object Database Management Systems International Conference on Management of Data,Jos é A. Blakeley,SIGMOD Conference,1994,VAL -,VAL -
2484,0,efficient view maintenance at data warehouses sigmod conference,"tolga yurek, divyakant agrawal, amr el abbadi, ambuj k. singh",VAL -,VAL -,efficient maintenance of materialized mediated views,"james j. lu, guido moerkotte, joachim schue, v. s. subrahmanian",SIGMOD Conference,1995,VAL -,VAL -
2485,0,databases and visualization,Daniel A. Keim,SIGMOD Conference,1996,Information Visualization ACM SIGMOD Record,"Tiziana Catarci, Isabel F. Cruz",VAL -,1996,VAL -,VAL -
2486,0,Information Management Challenges from the Aerospace Industry,"Sripada V., Suryanarayana M.",VLDB,2002,Information Management for Genome Level Bioinformatics,"Paton N. W., Goble C. A.",Very Large Data Bases,2001,VLDB,VAL -
2487,0,approximate query processing using wavelets,VAL -,VAL -,VAL -,approximate query processing using wavelets,"kaushik chakrabarti, minos garofalakis, rajeev rastogi, kyuseok shim",VLDB Journal,2001,VAL -,VLDB
2488,0,query caching and optimization in distributed mediator systems,"Sibel Adali, Yannis Papakonstantinou, K. Selçuk Candan, V. S. Subrahmanian",SIGMOD Conference,1996,description logics for semantic query optimization in object-oriented database systems,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",ACM Transactions on Database Systems (TODS),2003,,
