id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
1625,0,Answering XML Queries on Heterogeneous Data Sources,VAL -,VLDB,2001,Querying Heterogeneous Information Sources Using Source Descriptions,"Alon Y. Levy, Anand Rajaraman, Joann J. Ordille",VLDB,VAL -,,
1626,1,Atomicity and Isolation for Transactional Processes,"Hans-J&#246;rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",ACM Transactions on Database Systems (TODS),VAL -,Atomicity and Isolation for Transactional Processes,"Heiko Schuldt, Gustavo Alonso, Catriel Beeri, Hans-J&#246;rg Schek",ACM Transactions on Database Systems (TODS),VAL -,,
1627,0,'chair's message Richard T. Snodgrass,VAL -,VAL -,1997,'treasurer's message Joachim Hammer,Joachim Hammer,ACM SIGMOD Record,2002,,
1628,0,Approximating Multi-Dimensional Aggregate Range Queries Over Real Attributes,VAL -,SIGMOD Conference,2000,Approximating Aggregate Queries About Web Pages Via Random Walks,"Ziv Bar-Yossef, Alexander Berg, Steve Chien, Jittat Fakcharoenphol, Dror Weitz",Very Large Data Bases,2000,VAL -,VLDB
1629,0,Query Processing and Optimization in Oracle RDB,"Gennady Antoshenkov, Mohamed Ziauddin",VLDB Journal,1996,Query Processing in Tertiary Memory Databases,Sunita Sarawagi,Very Large Data Bases,1995,,
1630,1,Geominer: A System Prototype for Spatial Data Mining,"Jiawei Han, Nebojsa Stefanovic, Krzysztof Koperski",VAL -,1997,Geominer: A System Prototype for Spatial Data Mining,VAL -,SIGMOD Conference,1997,,
1631,0,Exact: An Extensible Approach to Active Object-Oriented Databases,"Arturo Jaime, Oscar Díaz",VLDB Journal,1997,Extraction of Object-Oriented Structures from Existing Relational Databases,"Shekar Ramanathan, Julia Hodges",ACM SIGMOD Record,VAL -,,
1632,0,Approximate Query Processing Using Wavelets,VAL -,VLDB,VAL -,The Aqua Approximate Query Answering System,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",SIGMOD Conference,1999,,
1633,0,intelligent rollups in multidimensional olap data,"Sunita Sarawagi, Gayatri Sathe",VAL -,2001,"olap , relational , and multidimensional database systems",George Colliat,ACM SIGMOD Record,1996,VAL -,VAL -
1634,0,fast high-dimensional data search in incomplete databases,"tan kian-lee, goh cheng hian, ooi beng chin",vldb,1998,dimensionality reduction for similarity searching in dynamic databases,VAL -,SIGMOD Conference,VAL -,,
1635,0,editor's notes michael j. franklin,VAL -,ACM SIGMOD Record,1999,editorial richard snodgrass acm transactions on database systems (tods),VAL -,TODS,VAL -,VAL -,VAL -
1636,0,Materialized View Selection For Multidimensional Datasets,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,VAL -,Materialized View Selection And Maintenance Using Multi-Query Optimization,"Hoshi Mistry, Prasan Roy, S. Sudarshan, Krithi Ramamritham",SIGMOD Conference,2001,,
1637,0,The Aggregate Data Problem,"Leonardo Tininini, Antonia Bezenchek, Maurizio Rafanelli",ACM SIGMOD Record,1996,Dynamat: A Dynamic View Management System for Data Warehouses,VAL -,SIGMOD Conference,VAL -,VAL -,VAL -
1638,0,Fact: A Learning-Based Web Query Processing System,VAL -,SIGMOD Conference,2000,Toward Learning-Based Web Query Processing,"Yanlei Diao, Hongjun Lu, Songting Chen, Zengping Tian",VLDB,VAL -,,
1639,0,editorial,VAL -,ACM Transactions on Database Systems (TODS),VAL -,editorial,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001,VAL -,VAL -
1640,0,thémis : a database programming language handling integrity constraints,VAL -,VLDB Journal,1995,the role of integrity constraints in database interoperation,"Mark W. W. Vermeer, Peter M. G. Apers",Very Large Data Bases,1996,,
1641,0,mocha: a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez, joseph jájá, john m. mcgann, nick roussopoulos, zhexuan song, stephen kelley, vadim katz",SIGMOD Conference,2000,mocha: a self-extensible database middleware system for distributed data sources,VAL -,VAL -,VAL -,,
1642,0,from the guest editors - special section on data management issues in mobile computing,"margaret h dunham, abdelsalam helal",ACM SIGMOD Record,VAL -,evolution and change in data management - issues and directions,VAL -,ACM SIGMOD Record,2000,VAL -,VAL -
1643,0,Database Management Systems and the Internet,VAL -,VAL -,1996,Database Systems-Breaking Out of the Box,"Avi Silberschatz, Stan Zdonik",ACM SIGMOD Record,VAL -,,
1644,1,Guest Editorial,"Kyu-Young Whang, Gunter Schlageter, Amr El Abbadi",VLDB Journal,VAL -,Guest Editorial,VAL -,VLDB Journal,2001,VLDB Journal,VLDB Journal
1645,0,Integrating Mining with Relational Database Systems: Alternatives and Implications,"Shiby Thomas, Rakesh Agrawal, Sunita Sarawagi",SIGMOD Conference,1998,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System Very Large Data Bases,"Tak W. Yan, Jurgen Annevelink",VAL -,1994,,
1646,1,Wireless Client/Server Computing For Personal Information Services And Applications,VAL -,ACM SIGMOD Record,VAL -,Wireless Client/Server Computing For Personal Information Services And Applications,"Ahmed Elmagarmid, Jin Jing, Tetsuya Furukawa",ACM SIGMOD Record,1995,,
1647,1,Providing Better Support For A Class Of Decision Support Queries,"Antonio Badia, Dirk Van Gucht, Sudhir Rao",SIGMOD Conference,VAL -,Providing Better Support For A Class Of Decision Support Queries,"Sudhir G. Rao, Antonio Badia, Dirk Van Gucht",International Conference on Management of Data,1996,,
1648,0,Java and Relational Databases: SQLJ (Tutorial),"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",SIGMOD Conference,1998,"OLAP, Relational, and Multidimensional Database Systems",George Colliat,ACM SIGMOD Record,1996,VAL -,VAL -
1649,0,The Ores Temporal Database Management System,VAL -,SIGMOD Conference,1994,Database Management Systems and the Internet,Susan Malaika,VLDB,1996,VAL -,VLDB
1650,0,Response to a Close Look at the IFO Data Model,VAL -,ACM SIGMOD Record,1995,A Close Look at the IFO Data Model,Magdy S. Hanna,ACM SIGMOD Record,1995,VAL -,VAL -
1651,1,Active Rules for XML: A New Paradigm for E-Services,VAL -,VLDB Journal,2001,Active Rules for XML: A New Paradigm for E-Services,"Angela Bonifati, Stefano Ceri, Stefano Paraboschi",VLDB Journal,2001,,
1652,0,The Multidimensional Database System Rasdaman,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",SIGMOD Conference,1998,VAL -,VAL -,VAL -,VAL -,,
1653,0,Implementing XQuery 1.0: The Galax Experience,"Gargi Sur, Mary F. Fernandez, Amélie Marian, Jérôme Siméon, Byron Choi",VLDB,2003,Implementing XQuery Paul Cotton International Conference on Management of Data,VAL -,SIGMOD Conference,2002,,
1654,0,ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,VAL -,ACM SIGMOD Record,VAL -,MPEG-7 and Multimedia Database Systems,Harald Kosch,ACM SIGMOD Record,2002,,
1655,0,Continuous Queries Over Data Streams,"Jennifer Widom, Shivnath Babu",ACM SIGMOD Record,2001,Adaptive Filters for Continuous Queries Over Distributed Data Streams,VAL -,SIGMOD Conference,2003,VAL -,VAL -
1656,0,The Structured Information Manager: A Database System for SGML Documents,VAL -,VAL -,1996,The Demarcation Protocol: A Technique for Maintaining Constraints in Distributed Database Systems,"Daniel Barbar Á Mill Á, Hector Garcia-Molina",VLDB Journal,1994,,
1657,0,Improving Performance In Replicated Databases Through Relaxed Coherency,"Rainer Gallersdörfer, Matthias Nicola",VAL -,1995,Improving Index Performance Through Prefetching,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry",SIGMOD Conference,2001,,
1658,1,Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,VAL -,SIGMOD Conference,1999,Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",VAL -,1999,,
1659,0,Optimizing Multidimensional Index Trees for Main Memory Access,"Sang Kyun Cha, Keunjoo Kwon, Kihong Kim",VAL -,VAL -,Efficient Concurrency Control in Multidimensional Access Methods,"Kaushik Chakrabarti, Sharad Mehrotra",SIGMOD Conference,1999,,
1660,1,Engineering Federated Information Systems,"Fèlix Saltor, Uwe Hohenstein, Ralf-Detlef Kutsche, Wilhelm Hasselbring, Gunter Saake, Stefan Conrad, Mark Roantree",VAL -,VAL -,Engineering Federated Information Systems,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",ACM SIGMOD Record,1999,,
1661,0,a content-based multimedia server for massively parallel architectures,"C Watson, G Linderman, Euthimios Panagos, T Walters, Ion Tim Ieong, Alexandros Biliris, J Wang, S Choo, David Schrader, P Colin, William O'Connell, Grace Au",SIGMOD Conference,1996,VAL -,VAL -,VAL -,VAL -,,
1662,1,"The Sensor Spectrum: Technology, Trends, and Requirements","Samuel Madden, Wei Hong, Joseph M. Hellerstein",ACM SIGMOD Record,VAL -,"The Sensor Spectrum: Technology, Trends, and Requirements","Joseph M. Hellerstein, Wei Hong, Samuel R. Madden",ACM SIGMOD Record,2003,VAL -,VAL -
1663,0,Reminiscences on Influential Papers Richard T. Snodgrass,VAL -,ACM SIGMOD Record,VAL -,"Reminiscences on Influential Papers Kenneth A. Ross, Theodore Johnson, Richard Thomas Snodgrass",VAL -,ACM SIGMOD Record,2002,,
1664,0,Modeling High-Dimensional Index Structures Using Sampling,VAL -,SIGMOD Conference,2001,The X-Tree: An Index Structure for High-Dimensional Data,"Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel",VLDB,1996,,
1665,0,Space Optimization in Deductive Databases,"Sudarshan S., Srivastava D., Ramakrishnan R., Naughton J.F.",VAL -,1995,On-Line Reorganization in Object Databases,"Lakhamaaju M.K., Rastogi R., Seshadri S., Sudarshan S.",SIGMOD Conference,2000,,
1666,0,"The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation","Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita",VLDB Journal,VAL -,The Design and Implementation of a Sequence Database System,VAL -,Very Large Data Bases,1996,VLDB Journal,VLDB
1667,0,The CCube Constraint Object-Oriented Database System,"Alexander Brodsky, Pavel A. Exarkhopoulo, Victor E. Segal, Jia Chen",VAL -,1999,Description Logics for Semantic Query Optimization in Object-Oriented Database Systems,VAL -,ACM Transactions on Database Systems (TODS),2003,,
1668,0,XPress: A Queryable Compression for XML Data,VAL -,SIGMOD Conference,2003,An Extensible Compressor for XML Data,"Hartmut Liefke, Dan Suciu",ACM SIGMOD Record,VAL -,,
1669,0,Secure Transaction Processing in Firm Real-Time Database Systems,VAL -,SIGMOD Conference,1997,Enterprise Transaction Processing on Windows NT 1995,Greg Hope,International Conference on Management of Data,VAL -,VAL -,VAL -
1670,0,querying heterogeneous information sources using source descriptions,"Rajaraman Anand, Levy Alon Y., Ordille Joann J.",VLDB,1996,describing and using query capabilities of heterogeneous sources,"Vassalos Vasilis, Papakonstantinou Yannis",Very Large Data Bases,1997,,
1671,0,Information Visualization,"Tiziana Catarci, Isabel F. Cruz",ACM SIGMOD Record,1996,Dynamic Information Visualization,VAL -,ACM SIGMOD Record,VAL -,VAL -,VAL -
1672,1,psoup: a system for streaming queries over streaming data,"Sirish Chandrasekaran, Michael J. Franklin",VAL -,2003,psoup: a system for streaming queries over streaming data,VAL -,VLDB Journal,VAL -,,
1673,0,The CCube Constraint Object-Oriented Database System,"Alexander Brodsky, Pavel A. Exarkhopoulo, Victor E. Segal, Jia Chen",VAL -,1999,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,Kjetil Nørvåg,Very Large Data Bases,VAL -,,VLDB
1674,0,Bluetooth-Based Sensor Networks,"Bonnet Philippe, Beaufour Allan, Bondo Dydensborg Mads, Leopold Martin",ACM SIGMOD Record,VAL -,Distributed Deviation Detection in Sensor Networks,"Palpanas Themistoklis, Papadopoulos Dimitris, Kalogeraki Vana, Gunopulos Dimitrios",ACM SIGMOD Record,2003,,
1675,1,The Dedale System for Complex Spatial Queries,"Luc Segoufin, Philippe Rigaux, Stéphane Grumbach",VAL -,VAL -,The Dedale System for Complex Spatial Queries,"Stéphane Grumbach, Philippe Rigaux, Luc Segoufin",SIGMOD Conference,1998,,
1676,0,near neighbor search in large metric spaces,sergey brin,VAL -,1995,fast nearest neighbor search in medical image databases,"flip korn, nikolaos sidiropoulos, christos faloutsos, eliot siegel, zenon protopapas",Very Large Data Bases,VAL -,VAL -,VLDB
1677,0,Extracting Structured Data from Web Pages,VAL -,SIGMOD Conference,VAL -,Nodose-A Tool for Semi-Automatically Extracting Structured and Semistructured Data from Text Documents,Brad Adelberg,International Conference on Management of Data,1998,,
1678,0,A General Techniques for Querying XML Documents Using a Relational Database System,VAL -,ACM SIGMOD Record,2001,Efficiently Publishing Relational Data as XML Documents,"Jayavel Shanmugasundaram, Eugene Shekita, Rimon Barr, Michael Carey, Bruce Lindsay, Hamid Pirahesh, Berthold Reinwald",VLDB Journal,2001,,
1679,0,TAM: A System for Dynamic Transactional Activity Management,"Ling Liu, Calton Pu, Tong Zhou",SIGMOD Conference,1999,The Aggregate Data Problem: A System for Their Definition and Management VAL -,VAL -,ACM SIGMOD Record,VAL -,,
1680,0,Bulk-Loading Techniques For Object Databases And An Application To Relational Data,VAL -,VLDB,1998,Re-Designing Distance Functions And Distance-Based Applications For High Dimensional Data,Charu C. Aggarwal,ACM SIGMOD Record,2001,,
1681,1,The Long-Term Preservation of Authentic Electronic Records,VAL -,VLDB,VAL -,The Long-Term Preservation of Authentic Electronic Records,VAL -,Very Large Data Bases,2001,,
1682,0,Optimizing Multidimensional Index Trees For Main Memory Access,"Sang Kyun Cha, Keunjoo Kwon, Kihong Kim",VAL -,VAL -,Multidimensional Access Methods: Trees Have Grown Everywhere,"Timos K. Sellis, Nick Roussopoulos, Christos Faloutsos",Very Large Data Bases,1997,,
1683,0,Enabling Dynamic Content Caching For Database-Driven Web Sites,"Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K Selçuk Candan",SIGMOD Conference,VAL -,Building Database-Driven Electronic Catalogs,Sherif Danish,ACM SIGMOD Record,1998,,
1684,0,Implementation and Analysis of a Parallel Collection Query Language,Dan Suciu,VAL -,1996,DB2 Query Parallelism: Staging and Implementation,Yun Wang,VAL -,VAL -,VAL -,VAL -
1685,0,"Storing Semistructured Data with Stored Alin Deutsch, Mary F. Fernandez, Dan Suciu",VAL -,SIGMOD Conference,1999,"Extracting Structured Data from Web Pages Arvind Arasu, Hector Garcia-Molina",Stanford University,International Conference on Management of Data,2003,,
1686,0,nd-sql: a multi-dimensional language for interoperability and olap,VAL -,VLDB,VAL -,schemasql - a language for interoperability in relational multi-database systems,"Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian",VLDB,1996,,
1687,0,Structure and Value Synopses for XML Data Graphs,VAL -,VAL -,VAL -,Statistical Synopses for Graph-Structured XML Databases,"Neoklis Polyzotis, Minos Garofalakis",SIGMOD Conference,2002,,
1688,0,On the Costs of Multilingualism in Database Systems,"A. Kumaran, Jayant R. Haritsa",VAL -,VAL -,Managing Intra-Operator Parallelism in Parallel Database Systems,VAL -,Very Large Data Bases,1995,,
1689,0,Querying Structured Text in an XML Database,"H. V. Jagadish, Shurug Al-Khalifa, Cong Yu",SIGMOD Conference,2003,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh",VLDB,VAL -,,
1690,0,Database Technologies For Electronic Commerce,VAL -,VAL -,2002,Business Data Management For Business-To-Business Electronic Commerce,"Christoph Quix, Mareike Schoop, Manfred Jeusfeld",ACM SIGMOD Record,2002,,
1691,0,Proximity Search in Databases,"Narayanan Shivakumar, Hector Garcia-Molina, Roy Goldman, Suresh Venkatasubramanian",VLDB,1998,An Approximate Search Engine for Structural Databases,VAL -,SIGMOD Conference,VAL -,,
1692,0,Space Optimization in Deductive Databases,"Sudarshan S., Srivastava D., Ramakrishnan R., Naughton J.F.",VAL -,VAL -,Selectivity Estimation in Spatial Databases,"Acharya S., Poosala V., Ramaswamy S.",SIGMOD Conference,1999,,
1693,0,QC-Trees: An Efficient Summary Structure for Semantic OLAP,VAL -,SIGMOD Conference,VAL -,The HCC-Tree: An Efficient Index Structure for Object-Oriented Databases,VAL -,VLDB,1994,,
1694,0,On the Computation of Multidimensional Aggregates,"Sunita Sarawagi, Ashish Gupta, Rakesh Agrawal, Prasad Deshpande, Jeffrey F. Naughton, Sameet Agarwal, Raghu Ramakrishnan",VAL -,1996,Management of Multidimensional Discrete Data,VAL -,VLDB Journal,1994,,
1695,0,Distributing Queries Over Low-Power Wireless Sensor Networks,"Samuel Madden, Joseph M. Hellerstein",SIGMOD Conference,2002,Energy And Rate Based Mac Protocol For Wireless Sensor Networks,VAL -,ACM SIGMOD Record,VAL -,,
1696,0,Computing Iceberg Queries Efficiently,"Hector Garcia-Molina, Narayanan Shivakumar, Jeffrey D. Ullman, Rajeev Motwani, Min Fang",VAL -,1998,Generating Efficient Plans for Queries Using Views,"Foto N. Afrati, Chen Li, Jeffrey D. Ullman",SIGMOD Conference,2001,VLDB,VAL -
1697,0,XSB as an efficient deductive database engine,"David Scott Warren, Konstantinos F. Sagonas, Terrance Swift",SIGMOD Conference,VAL -,An introduction to deductive database languages and systems,VAL -,VLDB Journal,1994,VAL -,VLDB Journal
1698,0,Repositories and Object-Oriented Databases,VAL -,ACM SIGMOD Record,1998,Index Configuration in Object-Oriented Databases,Elisa Bertino,VLDB Journal,1994,VAL -,VLDB Journal
1699,0,CURE: An Efficient Clustering Algorithm for Large Databases,VAL -,SIGMOD Conference,1998,Efficient and Cost-Effective Techniques for Browsing and Indexing Large Video Databases,"Junghwan Oh, Kien A. Hua",International Conference on Management of Data,2000,,
1700,0,similarity query processing using disk arrays,VAL -,SIGMOD Conference,1998,approximate query processing using wavelets,"Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi, Kyuseok Shim",VLDB,2000,,
1701,1,XPath Processing in a Nutshell,"Reinhard Pichler, Christoph Koch, Georg Gottlob",ACM SIGMOD Record,2003,XPath Processing in a Nutshell,"Georg Gottlob, Christoph Koch, Reinhard Pichler",ACM SIGMOD Record,VAL -,,
1702,0,Parallel Database Systems in the 1990's,VAL -,SIGMOD Conference,1994,Paradise: A Database System for GIS Applications,VAL -,International Conference on Management of Data,VAL -,VAL -,VAL -
1703,1,"Shutdown, Budget, and Funding",Xiaolei Qian,ACM SIGMOD Record,1996,"Shutdown, Budget, and Funding",Xiaolei Qian,ACM SIGMOD Record,VAL -,,
1704,0,genesys: a system for efficient spatial query processing,VAL -,SIGMOD Conference,1994,Generating efficient plans for queries using views,"Foto N. Afrati, Chen Li, Jeffrey D. Ullman",International Conference on Management of Data,2001,,
1705,0,Database Systems Management and Oracle8,VAL -,SIGMOD Conference,1998,LORE: A Database Management System for Semistructured Data,VAL -,ACM SIGMOD Record,1997,,
1706,0,parallel database systems in the 1990's,VAL -,SIGMOD Conference,1994,schema and database evolution in the o2 object database system,"Ferrandina Fabrizio, Meyer Thorsten, Zicari Roberto, Ferran Guy, Madec Joëlle",Very Large Data Bases,1995,VAL -,VLDB
1707,0,XPath Processing in a Nutshell,"Reinhard Pichler, Christoph Koch, Georg Gottlob",ACM SIGMOD Record,2003,On Processing XML in LDAP,"Pedro José Marrón, Georg Lausen",VLDB,VAL -,,
1708,0,spatial joins using seeded trees,"Chinya V. Ravishankar, Ming-Ling Lo",SIGMOD Conference,1994,VAL -,VAL -,VAL -,VAL -,,
1709,0,"Storing Semistructured Data with Stored Alin Deutsch, Mary F. Fernandez, Dan Suciu",VAL -,SIGMOD Conference,1999,LORE: A Lightweight Object Repository for Semistructured Data,"Dallan Quass, Jennifer Widom, Roy Goldman, Kevin Haas, Qingshan Luo, Jason McHugh, Svetlozar Nestorov, Anand Rajaraman, Hugo Rivero, Serge Abiteboul, Jeff Ullman, Janet Wiener",International Conference on Management of Data,1996,,
1710,0,Reminiscences on Influential Papers,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",VAL -,2002,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,VAL -,,
1711,0,Incremental Clustering for Mining in a Data Warehousing Environment,VAL -,VAL -,VAL -,Algorithms for Materialized View Design in Data Warehousing Environment,"Jian Yang, Kamalakar Karlapalem, Qing Li",VLDB,1997,,
1712,1,Report on FQAS 2002,"Amihai Motro, Troels Andreasen",ACM SIGMOD Record,VAL -,Report on FQAS 2002,"Amihai Motro, Troels Andreasen",ACM SIGMOD Record,VAL -,,
1713,0,Fast Algorithms for Mining Association Rules in Large Databases,VAL -,VLDB,1994,Integrating Association Rule Mining with Relational Database Systems: Alternatives and Implications,"Sunita Sarawagi, Shiby Thomas, Rakesh Agrawal",SIGMOD Conference,1998,,
1714,0,On the Discovery of Interesting Patterns in Association Rules,VAL -,VAL -,VAL -,Association Rules Over Interval Data,"R. J. Miller, Y. Yang",SIGMOD Conference,1997,,
1715,0,Gigascope: A Stream Database for Network Applications,"Theodore Johnson, Charles D. Cranor, Oliver Spatscheck, Vladislav Shkapenyuk",SIGMOD Conference,VAL -,Tribeca: A Stream Database Manager for Network Traffic Analysis Mark Sullivan Very Large Data Bases,VAL -,VLDB,1996,,
1716,0,Anatomy of a Native XML Base Management System,VAL -,VLDB Journal,2002,Data Grid Management Systems,"Arun Jagatheesan, Arcot Rajasekar",SIGMOD Conference,VAL -,,
1717,0,Discovery of Multiple-level Association Rules from Large Databases,VAL -,VLDB,1995,Sampling Large Databases for Association Rules,Hannu Toivonen,Very Large Data Bases,1996,,
1718,0,Exact: An Extensible Approach to Active Object-Oriented Databases,"Arturo Jaime, Oscar Díaz",VAL -,VAL -,Selectivity Estimation in Extensible Databases - A Neural Network Approach,"M. Seetha Lakshmi, Shaoyu Zhou",Very Large Data Bases,1998,,
1719,0,SemInt: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton",SIGMOD Conference,1995,Designing Wrapper Components for E-Services in Integrating Heterogeneous Systems,"Massimo Mecella, Barbara Pernici",VLDB Journal,2001,,
1720,0,Query Optimization in Compressed Database Systems,VAL -,SIGMOD Conference,2001,Open Issues in Parallel Query Optimization,"Waqar Hasan, Daniela Florescu, Patrick Valduriez",ACM SIGMOD Record,1996,,
1721,0,Sting: A Statistical Information Grid Approach to Spatial Data Mining,"Wei Wang, Richard R. Muntz, Jiong Yang",VLDB,1997,Enhancing Database Correctness: A Statistical Approach,VAL -,SIGMOD Conference,VAL -,,
1722,0,Database Techniques for the World-Wide Web: A Survey,"Daniela Florescu, Alberto O. Mendelzon, Alon Y. Levy",ACM SIGMOD Record,VAL -,Picodbms: Scaling Down Database Techniques for the Smartcard,"Philippe Pucheral, Luc Bouganim, Patrick Valduriez, Christophe Bobineau",VLDB Journal,2001,VAL -,VLDB Journal
1723,0,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,VAL -,VLDB,1999,The Pyramid-Technique: Towards Breaking the Curse of Dimensionality,"Stefan Berchtold, Christian B&#246;hm, Hans-Peter Kriegel",VAL -,VAL -,,
1724,0,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"Annevelink, Jurgen; Yan, Tak W.",VLDB,1994,Converting Relational to Object-Oriented Databases,"Fong, Joseph",ACM SIGMOD Record,VAL -,,
1725,0,The Design and Performance Evaluation of Alternative XML Storage Strategies,VAL -,ACM SIGMOD Record,VAL -,The Implementation and Performance of Compressed Databases,"Till Westmann, Donald Kossmann, Sven Helmer, Guido Moerkotte",ACM SIGMOD Record,2000,,
1726,0,Query rewriting for semistructured data,"Vasilis Vassalos, Yannis Papakonstantinou",SIGMOD Conference,1999,Distributed query evaluation on semistructured data,Dan Suciu,TODS,2002,,
1727,0,Selectivity Estimation in Spatial Databases,VAL -,SIGMOD Conference,1999,On-Line Reorganization in Object Databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,2000,,
1728,0,Scalable Parallel Data Mining for Association Rules,"Eui-Hong Han, Vipin Kumar, George Karypis",SIGMOD Conference,1997,A New SQL-Like Operator for Mining Association Rules,"Rosa Meo, Giuseppe Psaila, Stefano Ceri",VAL -,1996,,
1729,0,A Foundation For Multi-Dimensional Databases,VAL -,VLDB,1997,Materialized Views Selection In A Multidimensional Database,"Elena Baralis, Stefano Paraboschi, Ernest Teniente",VAL -,VAL -,,
1730,1,Bit-Sliced Index Arithmetic,"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",SIGMOD Conference,VAL -,Bit-Sliced Index Arithmetic,"Denis Rinfret, Patrick O'Neil, Elizabeth O'Neil",International Conference on Management of Data,2001,,
1731,0,Information Rules,Dale A. Stirling,ACM SIGMOD Record,2003,Information Sharing Across Private Databases VAL -,VAL -,SIGMOD Conference,VAL -,VAL -,VAL -
1732,0,Database Management Systems and the Internet,VAL -,VAL -,1996,Parallel Database Systems in the 1990's,Michael J. Carey,SIGMOD Conference,VAL -,VAL -,VAL -
1733,1,On Efficiently Implementing SchemaSQL on an SQL Database System,"Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian",VLDB,1999,On Efficiently Implementing SchemaSQL on an SQL Database System,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",Very Large Data Bases,1999,,
1734,0,On Efficiently Implementing SchemaSQL on an SQL Database System,"Fereidoon Sadri, Lakshmanan Laks V.S., Subramanian Subbu N.",VLDB,1999,Temporal Database System Implementations Michael H. B ö hlen,VAL -,ACM SIGMOD Record,1995,,
1735,0,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,"Eric Simon, Esther Pacitti, Pascale Minet",VLDB,VAL -,An Efficient Algorithm for Mining Association Rules in Large Databases Very Large Data Bases,"Ashoka Savasere, Edward Omiecinski, Shamkant B. Navathe",VLDB,1995,,
1736,0,query flocks: a generalization of association-rule mining,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",SIGMOD Conference,1998,online association rule mining,VAL -,VAL -,VAL -,,
1737,0,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996,The Araneus Web-Based Management System,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",SIGMOD Conference,1998,VAL -,VAL -
1738,0,Text Databases: A Survey of Text Models and Systems,Arjan Loeffen,ACM SIGMOD Record,VAL -,Promises and Realities of Active Database Systems,"Eric Simon, Angelika Kotz Dittrich",Very Large Data Bases,1995,VAL -,VLDB
1739,0,Integrating Mining with Relational Database Systems: Alternatives and Implications,"Shiby Thomas, Rakesh Agrawal, Sunita Sarawagi",SIGMOD Conference,1998,Semantics for Update Rule Programs and Implementation in a Relational Database Management System,VAL -,ACM Transactions on Database Systems (TODS),1996,,
1740,0,Applying Formal Methods to Semantic-Based Decomposition of Transactions,VAL -,ACM Trans. Database Syst.,VAL -,Using Formal Methods to Reason About Semantics-Based Decompositions of Transactions,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",Very Large Data Bases,1995,,
1741,0,Approximating Multi-Dimensional Aggregate Range Queries Over Real Attributes,VAL -,SIGMOD Conference,2000,Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,"Iosif Lazaridis, Sharad Mehrotra",International Conference on Management of Data,VAL -,VAL -,VAL -
1742,0,On the Minimization of XPath Queries,"Elio Masciari, Sergio Flesca, Filippo Furfaro",VLDB,VAL -,Optimization Techniques for Queries with Expensive Methods,Joseph M. Hellerstein,ACM Transactions on Database Systems (TODS),1998,VAL -,VAL -
